Rank,Abbreviated Journal Title,ISSN,2014 Total Cites,Impact Factor,5-Year Impact Factor,Immediacy Index,2014 Articles,Cited Half-life,Eigenfactor Score,Article Influence Score
5054,ROAD MATER PAVEMENT,1468-0629,663,1.188,1.263,0.13,77,4.6,0.00129,0.245
5055,GAC SANIT,0213-9111,1122,1.186,1.248,0.312,80,5.6,0.00211,0.276
5056,INT J PEDIATR OTORHI,0165-5876,5266,1.186,1.35,0.198,450,6.7,0.00951,0.35
5057,J MATH FLUID MECH,1422-6928,483,1.186,1.257,0.217,46,6.3,0.00362,1.269
5058,CLINICS,1807-5932,2108,1.185,1.368,0.181,149,3.8,0.00704,0.364
5059,METEOROL Z,0941-2948,1477,1.185,1.583,0.872,47,7.8,0.00302,0.7
5060,INT J THEOR PHYS,0020-7748,3823,1.184,0.917,0.33,424,5.9,0.00533,0.171
5061,CZECH J ANIM SCI,1212-1819,680,1.183,1.073,0.106,66,5.9,0.00121,0.241
5062,J APPL REMOTE SENS,1931-3195,990,1.183,1.309,0.193,259,3.7,0.00287,0.327
5063,J INTERV CARDIOL,0896-4327,997,1.183,1.125,0.521,71,6.1,0.00264,0.414
5064,J OBSESS-COMPULS REL,2211-3649,167,1.182,1.191,0.643,56,1.7,0.00072,0.412
5065,J SENSORS,1687-725X,364,1.182,,0.015,65,5.1,0.00133,
5066,KONA POWDER PART J,0288-4534,309,1.182,1.564,0.421,19,7,0.00048,0.386
5067,PUBLIC HEALTH ETH-UK,1754-9973,190,1.182,1.059,0.5,24,3.7,0.00094,0.435
5068,AM J MATH,0002-9327,4188,1.181,1.61,0.152,46,>10.0,0.01248,3.028
5069,AQUACULT ENG,0144-8609,1285,1.181,1.502,0.15,60,8.9,0.00128,0.383
5070,CAN MINERAL,0008-4476,3957,1.181,1.317,0.273,33,>10.0,0.00357,0.485
5071,IEEE T COMP PACK MAN,2156-3950,3816,1.18,1.264,0.157,223,7.5,0.00799,0.428
5072,BIORHEOLOGY,0006-355X,1608,1.179,2.068,0.12,25,>10.0,0.00104,0.557
5073,J OPT SOC KOREA,1226-4776,414,1.179,0.889,0.229,118,3,0.00106,0.181
5074,J PARALLEL DISTR COM,0743-7315,1735,1.179,1.213,0.192,120,6.8,0.00453,0.473
5075,MAGN RESON CHEM,0749-1581,3328,1.179,1.225,0.2,105,9.2,0.00376,0.316
5076,NEAR SURF GEOPHYS,1569-4445,627,1.179,1.39,0.469,64,5.1,0.00236,0.551
5077,BMC STRUCT BIOL,1472-6807,1083,1.178,2.096,0.308,26,6.1,0.00318,0.802
5078,IRISH VET J,0368-0762,290,1.178,0.562,0.154,26,7.2,0.00052,0.167
5079,J INTELL ROBOT SYST,0921-0296,1202,1.178,1.339,0.102,176,5,0.00304,0.368
5080,J LIMNOL,1129-5767,760,1.178,1.321,0.759,54,5.5,0.00174,0.395
5081,T NONFERR METAL SOC,1003-6326,5357,1.178,1.335,0.075,521,4.6,0.01233,0.288
5082,J SOLUTION CHEM,0095-9782,3246,1.177,1.303,0.248,149,>10.0,0.00341,0.291
5083,J WOUND OSTOMY CONT,1071-5754,845,1.177,1.236,0.161,62,6.3,0.0012,0.241
5084,OBES RES CLIN PRACT,1871-403X,277,1.177,1.049,0.279,68,3.1,0.0009,0.28
5085,SILVA FENN,0037-5330,1467,1.177,1.728,0.057,35,8.3,0.00213,0.486
5086,J ANESTH,0913-8668,1265,1.176,1.066,0.31,142,4.2,0.00358,0.296
5087,COLLEGIAN,1322-7696,306,1.175,1.488,0.067,45,5,0.00075,0.368
5088,IEEE J OCEANIC ENG,0364-9059,2108,1.175,1.196,0.234,64,>10.0,0.00252,0.484
5089,IMPLANT DENT,1056-6163,1579,1.175,1.464,0.159,113,7.9,0.00239,0.385
5090,J EARTHQ ENG,1363-2469,1215,1.175,1.355,0.186,59,7.9,0.0034,0.703
5091,ACTA SOC BOT POL,0001-6977,583,1.174,0.925,0.49,49,9.3,0.0007,0.205
5092,ARCTIC,0004-0843,1634,1.174,1.364,0.388,49,>10.0,0.00177,0.541
5093,DESALIN WATER TREAT,1944-3994,3187,1.173,1.017,0.109,852,2.8,0.00928,0.193
5094,GEN PHYSIOL BIOPHYS,0231-5882,809,1.173,1.269,0.2,45,5.9,0.00165,0.325
5095,J COMPOS MATER,0021-9983,5378,1.173,1.342,0.243,301,>10.0,0.00674,0.37
5096,KOREAN J ORTHOD,2234-7518,191,1.173,0.66,0.158,38,3.1,0.00067,0.218
5097,CONSERV GENET RESOUR,1877-7252,965,1.172,0.952,0.101,278,2.7,0.00452,0.289
5098,FAM MED,0742-3225,2071,1.172,1.5,0.384,86,9.6,0.00307,0.563
5099,J APPL CLIN MED PHYS,1526-9914,1020,1.172,1.269,0.23,187,4.1,0.00331,0.394
5100,J VECTOR ECOL,1081-1710,1037,1.172,1.398,0.058,52,7.4,0.00186,0.384
5101,NUMER HEAT TR B-FUND,1040-7790,1081,1.172,1.226,0.306,49,>10.0,0.00133,0.357
5102,TURK J EARTH SCI,1300-0985,487,1.172,1.179,0.14,43,6.1,0.00125,0.404
5103,LIVEST SCI,1871-1413,3720,1.171,1.62,0.198,333,4.8,0.01162,0.476
5104,MED ORAL PATOL ORAL,1698-6946,1571,1.171,1.293,0.03,101,4.7,0.00467,0.366
5105,SEP SCI TECHNOL,0149-6395,5093,1.171,1.294,0.148,330,8.6,0.00664,0.299
5106,ACM T SOFTW ENG METH,1049-331X,579,1.17,1.649,0.116,43,9,0.00162,1.047
5107,ANN VASC SURG,0890-5096,3016,1.17,1.095,0.238,416,6.9,0.00711,0.381
5108,REACT KINET MECH CAT,1878-5190,631,1.17,1.168,0.176,142,3,0.00175,0.213
5109,SARCOIDOSIS VASC DIF,1124-0490,831,1.169,1.81,0.208,48,9.7,0.0011,0.504
5110,CRYOGENICS,0011-2275,2232,1.168,1.119,0.147,150,>10.0,0.00242,0.278
5111,APPL MAGN RESON,0937-9347,1193,1.167,0.944,0.056,108,7.1,0.00249,0.312
5112,J FORAMIN RES,0096-1191,1268,1.167,1.394,0.259,27,>10.0,0.00071,0.352
5113,PALAEONTOGR ABT A,0375-0442,655,1.167,1.418,0.375,8,>10.0,0.00041,0.469
5114,REV PORT PNEUMOL,0873-2159,273,1.167,0.67,0.429,42,3.5,0.0007,0.157
5115,J OCCUP ENVIRON HYG,1545-9624,1219,1.166,1.344,0.231,108,5.9,0.00274,0.384
5116,KOREAN J CHEM ENG,0256-1115,3097,1.166,1.131,0.217,300,5.1,0.00555,0.232
5117,ARKIVOC,1551-7004,3435,1.165,1.181,0.312,125,6.9,0.00419,0.239
5118,CHEM PHARM BULL,0009-2363,12761,1.164,1.461,0.222,180,>10.0,0.00712,0.34
5119,J ENVIRON SCI HEAL A,1093-4529,3340,1.164,1.239,0.278,187,7.2,0.005,0.303
5120,J VET SCI,1229-845X,847,1.164,1.273,0.053,75,6.2,0.00168,0.335
5121,ADV APPL CERAM,1743-6753,623,1.163,1.029,0.423,78,4.6,0.00124,0.205
5122,CAN J EMERG MED,1481-8035,752,1.163,1.285,0.32,50,6.6,0.00185,0.485
5123,CAN RESPIR J,1198-2241,836,1.163,1.599,0.327,52,6.3,0.00197,0.534
5124,CHINESE J PHYSIOL,0304-4920,553,1.163,1.114,0.1,40,6,0.0007,0.18
5125,NEUROLOGIST,1074-7931,862,1.163,1.316,,,6.2,0.00221,0.443
5126,ECS SOLID STATE LETT,2162-8742,253,1.162,1.178,0.343,99,1.7,0.001,0.34
5127,ZAMM-Z ANGEW MATH ME,0044-2267,1896,1.162,1.069,0.266,79,>10.0,0.00288,0.547
5128,ANN ZOOL,0003-4541,641,1.161,0.822,0.324,37,8.8,0.00105,0.267
5129,BERNOULLI,1350-7265,1327,1.161,1.296,0.284,81,8.9,0.01021,1.827
5130,JAMA FACIAL PLAST SU,2168-6076,94,1.161,1.161,0.459,61,,0.00029,0.331
5131,JPN J INFECT DIS,1344-6304,1625,1.161,1.353,0.132,106,6,0.0036,0.382
5132,REV ADV MATER SCI,1606-5131,961,1.161,1.138,0.241,58,5.7,0.00179,0.264
5133,J FORENSIC SCI,0022-1198,6498,1.16,1.373,0.206,252,9.6,0.00896,0.403
5134,J INORG ORGANOMET P,1574-1443,1384,1.16,1.248,0.304,135,4.3,0.00238,0.213
5135,Z ANORG ALLG CHEM,0044-2313,8162,1.16,1.05,0.272,438,>10.0,0.00631,0.212
5136,J FOOD PROCESS PRES,0145-8892,1235,1.159,1.02,0.101,248,7.3,0.00176,0.223
5137,J INF SCI,0165-5515,1005,1.158,1.514,0.079,63,7.4,0.00155,0.39
5138,J INVEST SURG,0894-1939,721,1.158,1.203,0.18,50,7.3,0.00109,0.288
5139,J NEUROSURG SCI,0390-5616,482,1.158,0.918,0.172,29,>10.0,0.00073,0.267
5140,STAT SINICA,1017-0405,2269,1.158,1.591,0.222,90,>10.0,0.0125,1.926
5141,DISTRIB PARALLEL DAT,0926-8782,252,1.156,0.927,0.056,18,>10.0,0.00058,0.443
5142,J FELINE MED SURG,1098-612X,1785,1.156,1.517,0.228,127,5.4,0.00456,0.412
5143,INTERACT CARDIOV TH,1569-9293,3556,1.155,,0.503,366,4,0.01468,
5144,ADICCIONES,0214-4840,293,1.154,1.006,0.25,28,5.2,0.00054,0.21
5145,EDUC PSYCHOL MEAS,0013-1644,4828,1.154,1.514,0.234,47,>10.0,0.00392,0.886
5146,HEALTH INF MANAG J,1833-3583,133,1.154,1.23,0,14,5,0.00031,0.265
5147,J ENVIRON PATHOL TOX,0731-8898,672,1.154,1.069,0.1,30,>10.0,0.00053,0.206
5148,MICROSC RES TECHNIQ,1059-910X,4564,1.154,1.345,0.346,130,>10.0,0.00474,0.382
5149,SPORT BIOMECH,1476-3141,429,1.154,1.494,0.062,32,5.6,0.00093,0.357
5150,ACTA BIOCHIM POL,0001-527X,2240,1.153,1.463,0.118,119,8.7,0.00273,0.337
5151,CONSTR APPROX,0176-4276,922,1.153,1.073,0.119,42,>10.0,0.0033,1.084
5152,REHABIL NURS,0278-4807,525,1.153,1.058,0.29,31,8,0.0008,0.292
5153,FUSION ENG DES,0920-3796,5601,1.152,1.168,0.148,527,5.6,0.01428,0.357
5154,J QUAL TECHNOL,0022-4065,2046,1.152,2.096,0.261,23,>10.0,0.0018,0.907
5155,ANN ACAD MED SINGAP,0304-4602,2141,1.151,1.506,0.083,60,8.5,0.00299,0.419
5156,GENES-BASEL,2073-4425,252,1.151,1.394,0.492,59,3.2,0.00126,0.495
5157,J PAEDIATR CHILD H,1034-4810,3102,1.151,1.31,0.303,165,7.9,0.00623,0.458
5158,KOREAN J PARASITOL,0023-4001,1225,1.151,1.262,0.093,107,7.2,0.00185,0.288
5159,PADDY WATER ENVIRON,1611-2490,442,1.151,1.227,0.443,61,4.7,0.00111,0.344
5160,RESOUR GEOL,1344-1698,498,1.151,1.225,0.074,27,8.5,0.00084,0.372
5161,GEOGR ANN A,0435-3676,1070,1.15,1.489,0.378,37,>10.0,0.00103,0.473
5162,FOOD NUTR BULL,0379-5721,1689,1.148,1.795,0.547,64,7.3,0.00323,0.604
5163,ISL ARC,1038-4871,1022,1.148,1.389,0.391,23,>10.0,0.00133,0.476
5164,OPHTHAL EPIDEMIOL,0928-6586,1204,1.148,1.709,0.388,49,7.3,0.00225,0.564
5165,FOLIA PARASIT,0015-5683,1184,1.147,1.515,0.448,67,>10.0,0.00118,0.378
5166,CLIN PEDIATR,0009-9228,2551,1.146,1.3,0.195,190,8.5,0.00537,0.46
5167,NAT RESOUR FORUM,0165-0203,618,1.146,1.483,0.042,24,9.3,0.001,0.525
5168,NEW ASTRON,1384-1076,1314,1.146,1.172,0.467,92,7.5,0.00433,0.616
5169,P GEOLOGIST ASSOC,0016-7878,861,1.146,1.182,0.333,57,>10.0,0.00106,0.303
5170,IN VITRO CELL DEV-AN,1071-2690,1798,1.145,1.27,0.193,114,>10.0,0.00226,0.312
5171,J MATH CHEM,0259-9791,1972,1.145,1.147,0.39,164,5.8,0.0049,0.369
5172,J PERIODONTAL IMPLAN,2093-2278,224,1.145,,0.049,41,3.4,0.00089,
5173,APPL ENTOMOL ZOOL,0003-6862,1760,1.144,1.101,0.145,76,>10.0,0.00186,0.319
5174,SCI MAR,0214-8358,2619,1.144,1.346,0.206,63,>10.0,0.00264,0.409
5175,J FOREST ECON,1104-6899,368,1.143,1.488,0.154,26,6,0.001,0.521
5176,J INSECT BEHAV,0892-7553,1489,1.143,1.109,0.282,71,>10.0,0.00127,0.323
5177,NAT HAZARDS REV,1527-6988,557,1.143,1.196,0.258,31,8.5,0.00085,0.475
5178,NJAS-WAGEN J LIFE SC,1573-5214,622,1.143,1.62,0,26,>10.0,0.00088,0.554
5179,SCI CHINA PHYS MECH,1674-7348,1470,1.143,0.945,0.379,293,2.7,0.00594,0.261
5180,SOFTWARE QUAL J,0963-9314,256,1.143,1.065,0.12,25,6.6,0.0009,0.521
5181,J COMP PATHOL,0021-9975,2676,1.142,1.333,0.152,112,>10.0,0.00303,0.367
5182,POLAR RES,0800-0395,1195,1.141,1.894,0.4,35,>10.0,0.00215,0.715
5183,CRYOLETTERS,0143-2044,1146,1.14,1.258,0.074,68,10,0.00091,0.217
5184,HERPETOLOGICA,0018-0831,2253,1.14,1.246,0.308,39,>10.0,0.00137,0.423
5185,ISIJ INT,0915-1559,7324,1.14,1.343,0.128,397,>10.0,0.00982,0.416
5186,OXID MET,0030-770X,2221,1.14,1.463,0.16,75,>10.0,0.00197,0.439
5187,SURG LAPARO ENDO PER,1530-4515,2264,1.14,1.282,0.225,160,6.5,0.00471,0.368
5188,BIOMED RES-TOKYO,0388-6107,595,1.138,1.299,0.149,47,5.7,0.00139,0.362
5189,HELV CHIM ACTA,0018-019X,7653,1.138,1.151,0.211,185,>10.0,0.00546,0.268
5190,J COMPUT SYST SCI,0022-0000,2824,1.138,1.307,0.412,97,>10.0,0.00527,0.925
5191,J INFECT DEV COUNTR,1972-2680,1149,1.138,1.323,0.178,219,4,0.00411,0.366
5192,AURIS NASUS LARYNX,0385-8146,1424,1.135,1.041,0.185,119,6,0.00334,0.318
5193,IET RADAR SONAR NAV,1751-8784,840,1.135,1.41,0.17,135,3.9,0.0034,0.474
5194,J HEURISTICS,1381-1231,876,1.135,1.94,0.192,26,8.5,0.00221,0.83
5195,ACTA CHIROPTEROL,1508-1109,526,1.133,1.127,0.077,39,6.5,0.00115,0.34
5196,ADV CALC VAR,1864-8258,92,1.133,0.961,0,16,,0.00188,1.535
5197,MOL SIMULAT,0892-7022,2006,1.133,1.078,0.618,123,7.6,0.00333,0.312
5198,CURR ANAL CHEM,1573-4110,435,1.132,1.137,0.5,62,4,0.00094,0.254
5199,ANN NONINVAS ELECTRO,1082-720X,854,1.131,1.148,0.416,77,6.6,0.00183,0.388
5200,FAM SYST HEALTH,1091-7527,589,1.131,1.878,0.265,34,6.9,0.00148,0.667
5201,IEEE MICROW MAG,1527-3342,921,1.131,1.757,0.153,59,5.6,0.00502,1.051
5202,INVERSE PROBL IMAG,1930-8337,442,1.131,1.28,0.173,52,4.6,0.00372,1.007
5203,MATH ANN,0025-5831,6112,1.13,1.349,0.183,104,>10.0,0.02247,2.132
5204,AM J THER,1075-2765,1258,1.129,1.121,0.206,126,6.5,0.00291,0.37
5205,CLIN LAB,1433-6510,1036,1.129,1.102,0.122,262,3.7,0.0024,0.261
5206,CLIN NEPHROL,0301-0430,3078,1.129,1.15,0.156,122,>10.0,0.00442,0.34
5207,J BRAZIL CHEM SOC,0103-5053,3995,1.129,1.387,0.136,273,6.2,0.00624,0.286
5208,J TISSUE VIABILITY,0965-206X,217,1.129,,0.235,17,4.8,0.00061,
5209,PACE,0147-8389,5059,1.129,1.3,0.285,214,8.5,0.01048,0.491
5210,APPL MATH MECH-ENGL,0253-4827,1331,1.128,0.861,0.184,125,6.4,0.00242,0.222
5211,BMC ORAL HEALTH,1472-6831,577,1.128,,0.115,156,5.1,0.00158,
5212,INSUR MATH ECON,0167-6687,2141,1.128,1.582,0.265,117,6.6,0.00671,0.753
5213,J VIB ACOUST,1048-9002,2211,1.128,1.315,0.266,124,9.9,0.00409,0.479
5214,POL J PATHOL,1233-9687,320,1.128,0.842,0.043,47,4.4,0.00068,0.189
5215,CLIN NEUROL NEUROSUR,0303-8467,3588,1.127,1.288,0.137,336,5.6,0.00882,0.383
5216,ESAIM CONTR OPTIM CA,1292-8119,834,1.127,1.086,0.32,50,8.3,0.00435,1.063
5217,JPN J APPL PHYS,0021-4922,27913,1.127,0.949,0.267,1437,9.5,0.02901,0.218
5218,STAT APPL GENET MOL,2194-6302,1415,1.127,1.537,0.1,40,9.7,0.0035,0.894
5219,ANN AGR ENV MED,1232-1966,1235,1.126,1.232,0.09,167,6.4,0.00196,0.263
5220,PHYS SCRIPTA,0031-8949,7896,1.126,1.103,0.39,634,7.1,0.01889,0.384
5221,GEOM TOPOL,1465-3060,920,1.125,1.346,0.068,59,6.6,0.01225,2.582
5222,GREEN PROCESS SYNTH,2191-9542,99,1.125,,0.225,40,,0.00036,
5223,J RES NATL INST STAN,1044-677X,1981,1.125,1.472,0,12,>10.0,0.00123,0.63
5224,KINET RELAT MOD,1937-5093,289,1.125,1.138,0.194,36,3.8,0.00308,0.986
5225,SMALL RUMINANT RES,0921-4488,4343,1.125,1.252,0.278,205,7.7,0.00567,0.327
5226,TROP CONSERV SCI,1940-0829,285,1.125,1.28,0.192,52,3.5,0.00108,0.372
5227,NEUROCASE,1355-4794,1179,1.124,1.336,0.486,74,9.1,0.00179,0.41
5228,NEUROREHABILITATION,1053-8135,1586,1.124,1.568,0.121,174,5.7,0.00391,0.474
5229,NUCL INSTRUM METH B,0168-583X,15706,1.124,1.226,0.254,619,9.2,0.02371,0.406
5230,J AUDIO ENG SOC,1549-4950,938,1.123,0.971,0.111,54,>10.0,0.00082,0.21
5231,ACTA ASTRONAUT,0094-5765,3470,1.122,1.117,0.306,470,5.7,0.00752,0.315
5232,ADV NEONAT CARE,1536-0903,449,1.122,,0.064,47,5.5,0.00107,
5233,ANZ J SURG,1445-1433,2811,1.122,1.4,0.567,157,7.3,0.00524,0.449
5234,CUTAN OCUL TOXICOL,1556-9527,322,1.122,0.87,0.333,72,2.8,0.00099,0.225
5235,OSTOMY WOUND MANAG,0889-5899,934,1.122,1.261,0.432,37,8.4,0.00124,0.328
5236,T AM MATH SOC,0002-9947,11582,1.122,1.186,0.365,241,>10.0,0.03354,1.662
5237,DIAGN CYTOPATHOL,8755-1039,2818,1.121,1.207,0.451,162,7.6,0.00362,0.261
5238,SAUDI J GASTROENTERO,1319-3767,429,1.121,,0.327,52,3.8,0.00125,
5239,CAL COOP OCEAN FISH,0575-3317,517,1.12,1.385,0.083,12,>10.0,0.00044,0.423
5240,COMMUN MATH SCI,1539-6746,859,1.12,1.429,0.457,70,6.3,0.00482,1.169
5241,J AOAC INT,1060-3271,4399,1.12,1.17,0.166,223,9.6,0.00471,0.278
5242,J MATH ANAL APPL,0022-247X,18695,1.12,1.204,0.291,941,8.8,0.04963,0.759
5243,LAB ANIM-UK,0023-6772,1506,1.12,1.373,0.45,40,>10.0,0.00179,0.433
5244,CAN J PLANT PATHOL,0706-0661,1464,1.119,1.31,0.38,71,>10.0,0.00136,0.33
5245,J FLOOD RISK MANAG,1753-318X,293,1.119,1.544,0.516,31,4.3,0.00103,0.435
5246,PROG NUCL ENERG,0149-1970,1516,1.119,1.106,0.365,208,6.2,0.00459,0.484
5247,CIRC SYST SIGNAL PR,0278-081X,924,1.118,1.142,0.167,216,3.7,0.00217,0.254
5248,HEREDITAS,0018-0661,1549,1.118,0.914,0.111,27,>10.0,0.00049,0.263
5249,J AM ASSOC LAB ANIM,1559-6109,733,1.118,1.2,0.132,76,4.5,0.00189,0.291
5250,J FOURIER ANAL APPL,1069-5869,1119,1.118,1.281,0.232,56,6.9,0.00514,1.277
5251,J NUCL SCI TECHNOL,0022-3131,2693,1.118,1.168,0.188,133,>10.0,0.00488,0.461
5252,ALCHERINGA,0311-5518,717,1.117,1.131,0.19,42,>10.0,0.00112,0.383
5253,ANN DIAGN PATHOL,1092-9134,1112,1.117,1.083,0.197,66,6.8,0.00203,0.293
5254,COMPUT BIOL CHEM,1476-9271,797,1.117,1.441,0.561,82,6,0.00171,0.435
5255,IND HEALTH,0019-8366,1333,1.117,1.233,0.169,59,7.7,0.00235,0.365
5256,INT AGROPHYS,0236-8722,598,1.117,1.034,0.067,60,5.8,0.00078,0.166
5257,LIMNOLOGY,1439-8621,567,1.117,1.278,0.308,26,8.8,0.00092,0.384
5258,TURK J CHEM,1300-0527,1322,1.117,1.152,0.226,106,8.2,0.0013,0.198
5259,ACM SIGCOMM COMP COM,0146-4833,3678,1.116,2.147,0.17,47,7.4,0.01274,1.434
5260,ACTA HAEMATOL-BASEL,0001-5792,1507,1.116,1.053,0.25,96,10,0.00221,0.318
5261,ACTA METEOROL SIN,0894-0525,1087,1.116,1.061,,0,8.8,0.00166,0.319
5262,DATA KNOWL ENG,0169-023X,1276,1.115,1.594,0.2,5,7,0.00308,0.677
5263,ARCH APPL MECH,0939-1533,1521,1.114,1.181,0.151,119,7,0.00368,0.427
5264,CHILD NERV SYST,0256-7040,4000,1.114,1.264,0.189,265,7.3,0.00764,0.372
5265,CHIN J NAT MEDICINES,2095-6975,578,1.114,,0.087,138,3.9,0.00134,
5266,BIOTECHNOL BIOPROC E,1226-8372,1607,1.113,1.254,0.16,131,5.1,0.00306,0.264
5267,J SCH NURS,1059-8405,468,1.112,1.09,0.085,47,5.7,0.0011,0.313
5268,P LOND MATH SOC,0024-6115,3572,1.112,1.195,0.326,95,>10.0,0.01035,1.947
5269,ANN I SUPER SANITA,0021-2571,636,1.111,1.172,0.267,45,6,0.0014,0.335
5270,J COMPUT NONLIN DYN,1555-1423,531,1.111,1.104,0.12,75,4.2,0.00216,0.428
5271,PETROLOGY+,0869-5911,682,1.111,1.225,0.273,33,8.4,0.00158,0.544
5272,J COSMET LASER THER,1476-4172,585,1.11,1.295,0.121,58,5.3,0.00167,0.418
5273,J INNOV OPT HEAL SCI,1793-5458,259,1.11,1.042,0.215,79,3.3,0.00071,0.211
5274,ORIGINS LIFE EVOL B,0169-6149,1226,1.11,1.367,0.263,19,>10.0,0.00113,0.42
5275,J MED IMAG RADIAT ON,1754-9477,638,1.109,1.225,0.2,100,3.7,0.00279,0.402
5276,J OCCUP HEALTH,1341-9145,2262,1.109,1.511,0.267,60,>10.0,0.00203,0.45
5277,Z ANGEW MATH PHYS,0044-2275,1967,1.109,1.086,0.265,68,>10.0,0.00402,0.675
5278,J POROUS MAT,1380-2224,1577,1.108,1.343,0.27,126,5.8,0.0025,0.274
5279,MED ULTRASON,1844-4172,276,1.108,,0.161,62,3.1,0.00113,
5280,BIRD STUDY,0006-3657,1500,1.107,1.158,0.234,64,>10.0,0.00163,0.345
5281,EMU,0158-4197,973,1.107,1.278,0.114,44,>10.0,0.00152,0.441
5282,ADV SKIN WOUND CARE,1527-7941,782,1.106,1.475,0.148,54,7.1,0.00129,0.399
5283,AUSTRALAS J DERMATOL,0004-8380,1110,1.106,1.178,0.208,77,7.8,0.00202,0.338
5284,J CHEM EDUC,0021-9584,8082,1.106,1.089,0.273,388,>10.0,0.00325,0.131
5285,WATER SCI TECHNOL,0273-1223,16194,1.106,1.208,0.167,603,>10.0,0.01692,0.304
5286,ADV MED SCI-POLAND,1896-1126,553,1.105,1.249,0.218,55,4.9,0.00141,0.325
5287,CELL J,2228-5806,127,1.105,1.034,0.121,58,2.1,0.00039,0.21
5288,AUST DENT J,0045-0421,1877,1.104,1.696,0.605,86,7.8,0.00291,0.456
5289,CHEM ENG COMMUN,0098-6445,1828,1.104,1.041,0.278,97,>10.0,0.00186,0.227
5290,MAR BIODIVERS,1867-1616,280,1.104,,0.619,42,3.3,0.00125,
5291,ETHOL ECOL EVOL,0394-9370,706,1.103,1.013,0.92,25,>10.0,0.00088,0.347
5292,IEEE T ENG MANAGE,0018-9391,1799,1.103,1.526,0.2,60,>10.0,0.00207,0.488
5293,IEEE T PLASMA SCI,0093-3813,7576,1.101,1.089,0.139,763,8.1,0.01394,0.329
5294,J TRIBOL-T ASME,0742-4787,3091,1.101,1.265,0.102,98,>10.0,0.00293,0.435
5295,ADV MATH PHYS,1687-9120,194,1.1,0.92,0.209,86,1.9,0.00084,0.28
5296,INT J ENVIRON RES,1735-6865,680,1.1,1.129,0.158,139,3.6,0.00176,0.22
5297,INT MATH RES NOTICES,1073-7928,2563,1.1,1.122,0.278,216,8.3,0.02393,1.903
5298,J PERINAT NEONAT NUR,0893-2190,492,1.1,1.083,0.219,32,7.5,0.00073,0.273
5299,SALAMANDRA,0036-3375,222,1.1,,0.158,19,8.1,0.00038,
5300,ACTA OTO-LARYNGOL,0001-6489,5876,1.099,1.164,0.142,190,>10.0,0.00635,0.357
5301,NONLINEAR ANAL-MODEL,1392-5113,323,1.099,1.04,0.636,44,4.5,0.00081,0.29
5302,CHINESE J CHEM ENG,1004-9541,1902,1.098,1.342,0.161,193,5.4,0.00342,0.272
5303,J LAW MED ETHICS,1073-1105,1189,1.097,1.063,0.661,59,6.5,0.00333,0.475
5304,CURR NANOSCI,1573-4137,965,1.096,1.199,0.105,133,4.1,0.00207,0.23
5305,HUM ECOL RISK ASSESS,1080-7039,1408,1.096,1.255,0.415,94,8.4,0.00215,0.359
5306,PEDIATR HEMAT ONCOL,0888-0018,1047,1.096,1.108,0.237,80,7.3,0.00225,0.364
5307,RANGELAND J,1036-9872,630,1.096,1.261,0.824,51,6.3,0.00108,0.341
5308,ADV CLIN EXP MED,1899-5276,363,1.095,0.618,0.075,106,2.7,0.00084,0.12
5309,EST J EARTH SCI,1736-4728,183,1.095,1.237,0.077,39,4.5,0.00065,0.345
5310,INT J FUZZY SYST,1562-2479,410,1.095,1.37,0.148,54,4,0.00056,0.164
5311,ANN OTO RHINOL LARYN,0003-4894,5520,1.094,1.316,0.094,128,>10.0,0.00447,0.428
5312,INT J WATER RESOUR D,0790-0627,775,1.094,1.192,0.569,51,7,0.0011,0.324
5313,J PLANT BIOCHEM BIOT,0971-7811,345,1.094,0.874,0.143,49,4,0.00084,0.213
5314,SEMIN MUSCULOSKEL R,1089-7860,517,1.094,1.172,0.114,44,6.4,0.00129,0.396
5315,FEMALE PELVIC MED RE,2151-8378,299,1.093,,0.247,73,2.6,0.0017,
5316,J GENET,0022-1333,1030,1.093,1.21,0.105,76,6.6,0.002,0.334
5317,CLIN EXP DERMATOL,0307-6938,3878,1.092,1.285,0.271,144,8.2,0.00656,0.367
5318,PARASITE,1252-607X,901,1.092,1.084,0.27,74,7.4,0.00109,0.286
5319,BIO-MED MATER ENG,0959-2989,1130,1.091,1.28,0.493,438,7.2,0.00092,0.279
5320,ANASTH INTENSIVMED,0170-5334,276,1.09,0.495,0.647,34,4.6,0.00038,0.083
5321,ARCH METALL MATER,1733-3490,1060,1.09,0.943,0.17,282,3.3,0.00196,0.151
5322,BIOCHIP J,1976-0280,246,1.09,0.86,0.15,40,3.2,0.00076,0.191
5323,CR MECANIQUE,1631-0721,951,1.09,1.087,0.173,75,5.8,0.00376,0.539
5324,NANO,1793-2920,506,1.09,1.227,0.319,113,3.6,0.00127,0.284
5325,SCAND J OCCUP THER,1103-8128,567,1.09,1.409,0.143,63,5.9,0.00092,0.293
5326,ACI STRUCT J,0889-3241,3428,1.089,1.452,0.131,130,>10.0,0.00398,0.632
5327,J SMALL ANIM PRACT,0022-4510,2750,1.089,1.212,0.294,102,>10.0,0.00325,0.377
5328,WORLD POULTRY SCI J,0043-9339,1412,1.089,1.45,0.121,58,10,0.00157,0.395
5329,TISSUE ENG REGEN MED,1738-2696,268,1.088,0.477,0.125,72,3,0.00066,0.087
