Rank,Abbreviated Journal Title,ISSN,Total Cites,Impact Factor,5-Year Impactor Factor,Immediacy Index,Articles,Cited Half-life,EigenfactorTM Score,Article InfluenceTM Score
4057,ISL ARC,1038-4871,790,1.012,1.144,0.083,36,>10.0,0.00163,0.439
4058,ISLETS,1938-2014,133,1.123,1.123,0.222,54,1.9,0.00075,0.386
4059,ISME J,1751-7362,3899,7.375,7.85,1.787,178,2.6,0.02345,2.811
4060,ISOKINET EXERC SCI,0959-3020,272,0.349,0.5,0.098,41,7.6,0.0003,0.102
4061,ISOT ENVIRON HEALT S,1025-6016,433,0.9,0.988,0.205,39,7.4,0.00107,0.354
4062,ISPRS J PHOTOGRAMM,0924-2716,1879,2.885,3.435,0.323,93,6.2,0.00493,1.033
4063,ISR J AQUACULT-BAMID,0792-156X,309,0.944,0.766,0.069,58,6.6,0.00044,0.13
4064,ISR J CHEM,0021-2148,1105,1.535,1.023,1.13,108,>10.0,0.00157,0.4
4065,ISR J ECOL EVOL,1565-9801,122,0.388,0.925,1.111,9,3.8,0.00083,0.377
4066,ISR J MATH,0021-2172,2365,0.745,0.743,0.11,118,>10.0,0.0099,1.032
4067,ISR J PLANT SCI,0792-9978,301,0.307,0.5,0,8,9.5,0.00048,0.149
4068,ISR J PSYCHIATR REL,0333-7308,362,0.676,0.879,0.056,36,7.8,0.00075,0.237
4069,ISR J VET MED,0334-9152,82,0.296,0.297,0,32,,0.00015,0.073
4070,ISR MED ASSOC J,1565-1088,1650,1.018,0.903,0.185,151,5.5,0.00439,0.249
4071,ISSUES SCI TECHNOL,0748-5492,220,0.652,0.571,0.278,18,6.8,0.00072,0.242
4072,ITAL J ANIM SCI,1594-4077,508,0.342,0.275,0.077,39,4.5,0.00181,0.077
4073,ITAL J FOOD SCI,1120-1770,488,0.534,0.606,0.053,38,9,0.0006,0.14
4074,ITAL J GEOSCI,2038-1719,28,0.273,0.394,0.609,23,,0.00006,0.107
4075,ITAL J PEDIATR,1720-8424,122,0.791,,0.14,57,2.1,0.00053,
4076,ITAL J REMOTE SENS,1129-8596,33,0.295,,0.053,19,,0.00012,
4077,ITAL J VASC ENDOVASC,1824-4777,6,0.028,,0,31,,0.00004,
4078,ITAL J ZOOL,1125-0003,621,0.939,0.841,0.114,88,7.6,0.00083,0.195
4079,ITE J,0162-8178,202,0.112,0.183,0,52,>10.0,0.00035,0.077
4080,ITEA-INF TEC ECON AG,1699-6887,29,0.25,,0,21,,0.00012,
4081,IUBMB LIFE,1521-6543,2964,3.514,3.598,0.289,135,4.7,0.01122,1.259
4082,IZV ATMOS OCEAN PHY+,0001-4338,472,0.441,0.501,0.223,103,6.9,0.00109,0.155
4083,IZV MATH+,1064-5632,427,0.488,0.62,0.128,47,8.1,0.00312,0.785
4084,IZV-PHYS SOLID EART+,1069-3513,417,0.317,0.387,0.111,90,6.2,0.00121,0.133
4085,J AAPOS,1091-8531,1547,1.028,1.199,0.296,142,5.6,0.00543,0.439
4086,J ACM,0004-5411,4536,2.353,2.709,0.273,22,>10.0,0.0079,2.723
4087,J ACOUST SOC AM,0001-4966,32278,1.55,1.822,0.239,833,>10.0,0.03978,0.582
4088,J ADDICT MED,1932-0620,207,1.951,1.627,0.325,40,2.5,0.00138,0.635
4089,J ADDICT NURS,1088-4602,100,0.528,0.49,0.217,23,5.7,0.00022,0.125
4090,J ADHES DENT,1461-5185,1010,1.114,1.807,0.134,67,6,0.00279,0.553
4091,J ADHES SCI TECHNOL,0169-4243,2031,0.948,1.143,0.179,195,8.4,0.00365,0.319
4092,J ADHESION,0021-8464,1222,1.31,1.144,0.097,62,>10.0,0.00226,0.443
4093,J ADOLESCENT HEALTH,1054-139X,7927,3.334,4.016,0.361,202,6.2,0.02379,1.375
4094,J ADV CONCR TECHNOL,1346-8014,303,0.477,,0.207,29,5.8,0.00133,
4095,J ADV MATER-COVINA,1070-9789,165,0.177,0.248,,,7.5,0.0004,0.103
4096,J ADV MECH DES SYST,1881-3054,87,0.205,0.259,0.029,34,,0.00067,0.109
4097,J ADV NURS,0309-2402,9747,1.477,2.304,0.228,241,8.7,0.014,0.591
4098,J ADV OXID TECHNOL,1203-8407,266,0.806,0.687,0.108,37,4.4,0.00078,0.175
4099,J ADV TRANSPORT,0197-6729,262,0.643,1.011,0.261,23,8.7,0.00077,0.461
4100,J AEROS COMP INF COM,1940-3151,72,0.281,,0,20,,0.00029,
4101,J AEROSOL MED PULM D,1941-2711,367,2.2,2.816,0.469,32,2.9,0.00158,0.753
4102,J AEROSOL SCI,0021-8502,5360,2.447,2.755,0.386,70,10,0.00795,0.892
4103,J AEROSPACE ENG,0893-1321,378,0.697,0.924,0.245,53,6.7,0.00132,0.418
4104,J AFFECT DISORDERS,0165-0327,12670,3.517,3.911,0.482,515,6.3,0.02983,1.09
4105,J AFR EARTH SCI,1464-343X,1876,1.025,1.382,0.221,77,8.9,0.00323,0.473
4106,J AGING PHYS ACTIV,1063-8652,702,2.085,2.013,0.077,26,6.7,0.00161,0.581
4107,J AGR BIOL ENVIR ST,1085-7117,525,1.21,1.208,0.118,34,7.9,0.00176,0.665
4108,J AGR ECON,0021-857X,763,1.551,1.796,0.184,38,8,0.00199,0.691
4109,J AGR ENVIRON ETHIC,1187-7863,382,1.109,1.242,0.071,28,6.5,0.00099,0.407
4110,J AGR FOOD CHEM,0021-8561,71104,2.823,3.239,0.368,1648,7.7,0.10637,0.722
4111,J AGR RESOUR ECON,1068-5502,482,0.71,0.803,0.027,37,9.6,0.00091,0.317
4112,J AGR RURAL DEV TROP,1612-9830,62,0.247,0.36,0,7,,0.00019,0.089
4113,J AGR SCI,0021-8596,3812,2.041,2.294,1.272,81,>10.0,0.00312,0.602
4114,J AGR SCI TECH-IRAN,1680-7073,164,0.436,,0.113,106,3.6,0.00036,
4115,J AGR U PUERTO RICO,0041-994X,105,0,0.067,,,>10.0,0.00006,0.029
4116,J AGR URBAN ENTOMOL,1523-5475,113,0.111,0.375,,0,7.8,0.00021,0.132
4117,J AGROMEDICINE,1059-924X,163,0.559,,0.111,27,3.8,0.0006,
4118,J AGROMETEOROL,0972-1665,98,0.114,,0,35,,0.00011,
4119,J AGRON CROP SCI,0931-2250,1500,2.433,2.224,0.587,46,8,0.00202,0.44
4120,J AIR WASTE MANAGE,1096-2247,3548,1.517,1.977,0.364,129,7.5,0.00831,0.646
4121,J AIRCRAFT,0021-8669,2353,0.538,0.654,0.129,224,8.8,0.00649,0.296
4122,J ALGEBR COMB,0925-9899,470,0.752,0.79,0.148,61,7,0.00441,0.952
4123,J ALGEBRA,0021-8693,6238,0.613,0.686,0.168,476,>10.0,0.03338,0.761
4124,J ALGEBRA APPL,0219-4988,181,0.483,,0.058,86,3.8,0.00253,
4125,J ALGEBRAIC GEOM,1056-3911,479,0.932,0.966,0.286,21,>10.0,0.00339,1.566
4126,J ALGORITHMS,0196-6774,1136,0.5,0.915,,0,>10.0,0.00083,0.765
4127,J ALLERGY CLIN IMMUN,0091-6749,35353,11.003,9.712,3.072,321,6,0.0898,2.85
4128,J ALLOY COMPD,0925-8388,36296,2.289,2.104,0.755,2050,3.8,0.09733,0.507
4129,J ALTERN COMPLEM MED,1075-5535,2620,1.585,1.979,0.206,155,5.5,0.00517,0.399
4130,J ALZHEIMERS DIS,1387-2877,5527,3.745,4.188,0.679,380,2.7,0.02085,1.105
4131,J AM ACAD AUDIOL,1050-0545,1187,1.296,1.367,0.167,54,8.6,0.00248,0.472
4132,J AM ACAD CHILD PSY,0890-8567,15531,6.444,5.976,1.156,96,>10.0,0.02544,2.076
4133,J AM ACAD DERMATOL,0190-9622,18641,3.991,4.135,0.808,250,9.1,0.03185,1.212
4134,J AM ACAD NURSE PRAC,1041-2972,711,0.818,1.034,0.094,85,4.9,0.00224,0.294
4135,J AM ACAD ORTHOP SUR,1067-151X,2480,2.662,2.955,0.247,89,6.2,0.00815,1.098
4136,J AM ANIM HOSP ASSOC,0587-2871,2132,0.964,1.144,0.078,102,>10.0,0.00166,0.319
4137,J AM ASSOC LAB ANIM,1559-6109,342,0.708,0.861,0.215,79,3.7,0.00157,0.229
4138,J AM BOARD FAM MED,1557-2625,1797,2.053,2.183,1.326,89,5.6,0.00525,0.734
4139,J AM CERAM SOC,0002-7820,28517,2.272,2.383,0.324,753,>10.0,0.04762,0.765
4140,J AM CHEM SOC,0002-7863,408307,9.907,9.766,1.865,3176,7.5,0.81677,2.792
4141,J AM COLL CARDIOL,0735-1097,70298,14.156,13.065,3.257,435,6.3,0.2206,4.881
4142,J AM COLL NUTR,0731-5724,4108,2.29,3.066,0.444,9,8.7,0.00652,0.937
4143,J AM COLL SURGEONS,1072-7515,10744,4.549,4.359,0.815,211,6,0.03476,1.582
4144,J AM DENT ASSOC,0002-8177,5362,1.773,2.294,0.462,104,>10.0,0.00855,0.701
4145,J AM DIET ASSOC,0002-8223,8683,3.586,3.785,0.701,154,7.1,0.01953,1.143
4146,J AM GERIATR SOC,0002-8614,19257,3.737,4.315,0.617,287,8.3,0.03969,1.516
4147,J AM HELICOPTER SOC,0002-8711,423,0.549,0.663,0.161,31,>10.0,0.0008,0.272
4148,J AM LEATHER CHEM AS,0002-9726,569,0.747,0.69,0.087,46,>10.0,0.00052,0.124
4149,J AM MATH SOC,0894-0347,2232,3.841,3.275,0.875,32,>10.0,0.01715,5.46
4150,J AM MED DIR ASSOC,1525-8610,1917,4.645,3.295,1.56,91,3.1,0.00505,0.624
4151,J AM MED INFORM ASSN,1067-5027,4071,3.609,4.329,0.706,153,5.5,0.01364,1.506
4152,J AM OIL CHEM SOC,0003-021X,9621,1.773,2.181,0.286,220,>10.0,0.00637,0.459
4153,J AM PHARM ASSOC,1544-3191,1492,1.476,1.538,0.359,64,7.9,0.00269,0.415
4154,J AM PODIAT MED ASSN,8750-7315,1041,0.567,0.715,0.069,72,>10.0,0.00136,0.206
4155,J AM POMOL SOC,1527-3741,140,0.429,0.45,0,23,7,0.00026,0.112
4156,J AM SOC BREW CHEM,0361-0470,671,1.016,0.924,0.265,34,>10.0,0.00045,0.134
4157,J AM SOC ECHOCARDIOG,0894-7317,6893,3.707,3.074,0.814,167,6.3,0.0182,1
4158,J AM SOC HORTIC SCI,0003-1062,4390,0.938,1.196,0.235,51,>10.0,0.00291,0.337
4159,J AM SOC HYPERTENS,1933-1711,275,2.123,1.5,0.222,45,2.6,0.00169,0.523
4160,J AM SOC INF SCI TEC,1532-2882,4295,2.081,2.113,0.425,186,6.9,0.01312,0.781
4161,J AM SOC MASS SPECTR,1044-0305,8794,4.002,3.746,0.711,228,5.8,0.02249,1.054
4162,J AM SOC NEPHROL,1046-6673,29678,9.663,8.306,1.671,228,6.6,0.07835,2.817
4163,J AM STAT ASSOC,0162-1459,21348,1.992,3.31,0.24,121,>10.0,0.03695,3.113
4164,J AM WATER RESOUR AS,1093-474X,2991,1.782,1.867,0.278,97,8.1,0.00652,0.646
4165,J AM WATER WORKS ASS,2164-4535,2235,0.633,0.793,0.279,68,>10.0,0.00188,0.241
4166,J AMB INTEL SMART EN,1876-1364,40,0.63,0.63,0.286,21,,0.00018,0.183
4167,J ANAL APPL PYROL,0165-2370,4356,2.487,2.687,0.264,140,7.5,0.00777,0.652
4168,J ANAL ATOM SPECTROM,0267-9477,6969,3.22,2.966,0.614,264,7.7,0.01082,0.673
4169,J ANAL CHEM+,1061-9348,1992,0.747,0.803,0.078,206,7.7,0.00268,0.151
4170,J ANAL MATH,0021-7670,946,0.783,0.995,0.125,32,>10.0,0.00474,1.379
4171,J ANAL TOXICOL,0146-4760,2651,2.022,1.994,0.213,94,8,0.00484,0.536
4172,J ANAT,0021-8782,7007,2.37,2.539,0.639,119,>10.0,0.01111,0.905
4173,J ANAT SOC INDIA,0003-2778,95,0.056,,,,,0.00008,
4174,J ANDROL,0196-3635,4202,2.968,2.77,0.389,95,8.9,0.00647,0.771
4175,J ANESTH,0913-8668,703,0.831,,0.184,163,3.7,0.00235,
4176,J ANIM BREED GENET,0931-2668,1114,1.455,1.947,0.275,51,6,0.00303,0.587
4177,J ANIM ECOL,0021-8790,11942,4.937,4.971,0.868,129,>10.0,0.02581,2.069
4178,J ANIM FEED SCI,1230-1388,505,0.636,0.482,0.077,52,6.5,0.00091,0.105
4179,J ANIM PHYSIOL AN N,0931-2439,950,0.855,1.068,0.167,96,5.8,0.00238,0.292
4180,J ANIM PLANT SCI,1018-7081,111,0.585,,0.038,157,2.5,0.00016,
4181,J ANIM SCI,0021-8812,22410,2.096,2.614,0.389,445,>10.0,0.02363,0.619
4182,J ANIM VET ADV,1680-5593,779,0.39,,0.061,610,2.7,0.00236,
4183,J ANTIBIOT,0021-8820,6179,1.651,1.574,0.433,127,>10.0,0.00423,0.426
4184,J ANTIMICROB CHEMOTH,0305-7453,19785,5.068,4.792,1.469,446,5.5,0.056,1.453
4185,J AOAC INT,1060-3271,4206,1.199,1.359,0.162,198,7.8,0.00598,0.31
4186,J APIC SCI,1643-4439,114,0.674,,0.226,31,4.1,0.00012,
4187,J APICULT RES,0021-8839,1067,1.531,1.235,0.488,41,>10.0,0.00147,0.307
4188,J APPL ANIM RES,0971-2119,292,0.4,0.356,0.068,88,5,0.00046,0.053
4189,J APPL ANIM WELF SCI,1088-8705,290,0.729,0.878,0.083,24,7.8,0.00058,0.257
4190,J APPL BIOMATER BIOM,1722-6899,180,0.761,,0.176,17,4,0.00047,
4191,J APPL BIOMECH,1065-8483,801,0.761,1.264,0.188,48,9.5,0.0016,0.396
4192,J APPL BIOMED,1214-021X,218,1.933,,0.1,20,3.4,0.00065,
4193,J APPL BOT FOOD QUAL,1613-9216,118,0.429,0.636,0.147,34,5.2,0.00036,0.164
4194,J APPL CLIN MED PHYS,1526-9914,593,1.291,1.318,0.087,103,4.3,0.00191,0.348
4195,J APPL CRYSTALLOGR,0021-8898,20556,5.152,5.657,0.472,163,>10.0,0.04796,2.872
4196,J APPL ECOL,0021-8901,11471,5.045,5.804,0.925,161,7.8,0.02874,2.172
4197,J APPL ELECTROCHEM,0021-891X,7048,1.745,1.958,0.359,156,9.9,0.01028,0.494
4198,J APPL ENTOMOL,0931-2048,1997,1.311,1.466,0.417,84,8.1,0.00384,0.448
4199,J APPL GENET,1234-1983,816,1.664,1.749,0.311,61,5,0.00267,0.5
4200,J APPL GEOPHYS,0926-9851,1475,1.444,1.736,0.099,142,8.2,0.00452,0.699
4201,J APPL ICHTHYOL,0175-8659,2236,0.869,1.24,0.14,300,6.2,0.004,0.258
4202,J APPL LOGIC,1570-8683,114,0.574,,0.062,16,4.1,0.00135,
4203,J APPL MATH,1110-757X,169,0.656,,0.076,131,8,0.00051,
4204,J APPL MECH TECH PH+,0021-8944,791,0.233,,0.025,120,>10.0,0.00131,
4205,J APPL MECH-T ASME,0021-8936,7945,0.949,1.197,0.259,139,>10.0,0.00719,0.583
4206,J APPL METEOROL CLIM,1558-8424,7798,1.799,2.254,0.322,174,>10.0,0.0159,1.056
4207,J APPL MICROBIOL,1364-5072,12554,2.337,2.658,0.378,312,6.7,0.02821,0.744
4208,J APPL ORAL SCI,1678-7757,484,0.575,,0.028,109,3.9,0.00168,
4209,J APPL PHYCOL,0921-8971,3271,2.411,2.239,0.227,119,9.2,0.00457,0.495
4210,J APPL PHYS,0021-8979,124863,2.168,2.169,0.369,4361,8.7,0.30138,0.834
4211,J APPL PHYSIOL,8750-7587,39387,3.753,4.103,0.79,405,>10.0,0.05464,1.273
4212,J APPL POLYM SCI,0021-8995,38490,1.289,1.413,0.218,1751,8.1,0.05717,0.305
4213,J APPL POULTRY RES,1056-6171,1299,0.912,1.286,0.136,66,7.7,0.00237,0.354
4214,J APPL PROBAB,0021-9002,2326,0.632,0.784,0.093,86,>10.0,0.00641,0.809
4215,J APPL REMOTE SENS,1931-3195,313,0.818,,0.111,72,3,0.00181,
4216,J APPL RES TECHNOL,1665-6423,20,0.145,,0,32,,0.00006,
4217,J APPL SPECTROSC+,0021-9037,1001,0.513,,0.075,134,>10.0,0.00144,
4218,J APPL SPORT PSYCHOL,1041-3200,862,1.547,1.868,0.033,30,8,0.00137,0.47
4219,J APPL STAT,0266-4763,971,0.405,0.479,0.065,201,9.7,0.00217,0.237
4220,J APPL TOXICOL,0260-437X,2421,2.478,2.337,0.562,89,7.4,0.00475,0.585
4221,J APPROX THEORY,0021-9045,1488,0.681,0.802,0.184,98,>10.0,0.00633,0.725
4222,J AQUAT ANIM HEALTH,0899-7659,926,0.833,1.164,0.192,26,>10.0,0.00117,0.4
4223,J AQUAT FOOD PROD T,1049-8850,231,0.722,,0.062,32,7.6,0.00028,
4224,J AQUAT PLANT MANAGE,0146-6623,349,0.294,0.413,0.286,7,>10.0,0.00034,0.136
4225,J ARACHNOL,0161-8202,1481,0.626,0.855,0.227,75,>10.0,0.00146,0.222
4226,J ARCHAEOL SCI,0305-4403,6268,1.914,2.142,0.421,349,6.9,0.01541,0.67
4227,J ARID ENVIRON,0140-1963,5526,1.723,2.135,0.38,179,7.2,0.01202,0.666
4228,J ARID LAND,1674-6767,28,0.542,0.542,0.054,37,,0.00002,0.023
4229,J ARTHROPLASTY,0883-5403,7227,2.384,2.293,0.248,270,7.4,0.0162,0.723
4230,J ARTIF INTELL RES,1076-9757,1554,1.143,1.744,0.21,62,9.3,0.00534,1.182
4231,J ARTIF ORGANS,1434-7229,450,1.593,,0.089,56,4.9,0.00116,
4232,J ASIAN ARCHIT BUILD,1346-7581,64,0.086,,0,62,,0.00026,
4233,J ASIAN EARTH SCI,1367-9120,3196,2.152,2.301,0.82,245,5.7,0.00888,0.75
4234,J ASIAN NAT PROD RES,1028-6020,954,0.944,0.926,0.065,170,3.9,0.00244,0.181
4235,J ASSIST REPROD GEN,1058-0468,1679,1.844,1.623,0.229,153,7.5,0.0032,0.406
4236,J ASSOC INF SYST,1536-9323,620,1.667,2.654,0.071,28,4.8,0.00317,1.126
4237,J ASSOC NURSE AIDS C,1055-3290,510,1.09,1.084,0.476,21,6.3,0.00121,0.306
4238,J ASTHMA,0277-0903,2096,1.525,1.475,0.212,151,5.1,0.00697,0.478
4239,J ASTRONAUT SCI,0021-9142,381,0.286,0.546,0.071,14,>10.0,0.00084,0.3
4240,J ASTROPHYS ASTRON,0250-6335,254,0.4,0.477,0.104,115,>10.0,0.00061,0.222
4241,J ATHEROSCLER THROMB,1340-3478,1790,2.692,2.995,0.496,125,4.1,0.00535,0.767
4242,J ATHL TRAINING,1062-6050,2278,1.796,2.935,0.214,84,6.7,0.00493,0.76
4243,J ATMOS CHEM,0167-7764,1734,0.985,1.571,1.25,4,>10.0,0.00196,0.54
4244,J ATMOS OCEAN TECH,0739-0572,5085,2.255,2.142,0.296,125,8.8,0.01498,1.027
4245,J ATMOS SCI,0022-4928,18241,2.555,2.857,0.513,189,>10.0,0.03041,1.409
4246,J ATMOS SOL-TERR PHY,1364-6826,5204,1.596,1.671,0.413,259,9.3,0.01256,0.703
4247,J ATTEN DISORD,1087-0547,1145,2.447,,0.469,64,4.4,0.00355,
4248,J AUDIO ENG SOC,1549-4950,843,0.432,0.665,0.143,42,>10.0,0.00145,0.342
4249,J AUST MATH SOC,1446-7887,403,0.422,0.434,0,42,9.5,0.00246,0.466
4250,J AUST TRADIT-MED SO,1326-3390,4,0,,0,31,,0.00001,
4251,J AUTOIMMUN,0896-8411,3583,7.368,5.165,0.929,70,4,0.01082,1.43
4252,J AUTOM METHOD MANAG,1463-9246,57,0.467,0.589,0.059,17,,0.00013,0.123
4253,J AUTOM REASONING,0168-7433,274,0.714,0.838,0.138,29,8.1,0.0015,0.6
4254,J AUTOMAT INFORM SCI,1064-2315,15,0.02,,0,82,,0.00002,
4255,J AVIAN BIOL,0908-8857,2593,2.28,2.441,0.2,70,7.5,0.00689,0.914
4256,J AVIAN MED SURG,1082-6742,289,0.625,0.742,0.065,31,7.4,0.0005,0.166
4257,J BACK MUSCULOSKELET,1053-8127,125,0.587,0.517,0.061,33,4.6,0.00042,0.154
4258,J BACTERIOL,0021-9193,66202,3.825,3.924,0.942,1038,>10.0,0.11157,1.358
4259,J BALK TRIBOL ASSOC,1310-4772,36,0.158,,0.042,48,,0.00011,
4260,J BASIC MICROB,0233-111X,1203,1.266,1.557,0.233,73,6.7,0.00243,0.385
4261,J BIOACT COMPAT POL,0883-9115,852,2.953,2.46,1.14,43,4.5,0.00158,0.434
4262,J BIOBASED MATER BIO,1556-6560,270,1.037,1.384,0.088,68,3.2,0.00121,0.345
4263,J BIOCHEM,0021-924X,8602,2.371,2.158,0.538,143,>10.0,0.01405,0.809
4264,J BIOCHEM MOL TOXIC,1095-6670,961,1.38,1.646,0.224,49,7.2,0.00171,0.417
4265,J BIOENERG BIOMEMBR,0145-479X,2839,2.813,3.352,0.282,78,8.1,0.00584,1.066
4266,J BIOETHIC INQ,1176-7529,77,0.54,,0.389,36,,0.00042,
4267,J BIOGEOGR,0305-0270,9623,4.544,4.916,1.045,177,6.7,0.02788,1.775
4268,J BIOL CHEM,0021-9258,402449,4.773,5.117,0.954,4382,9.4,0.74298,2.029
4269,J BIOL EDUC,0021-9266,354,0.391,0.6,0,31,>10.0,0.0003,0.13
4270,J BIOL INORG CHEM,0949-8257,3803,3.289,3.488,1.018,111,5.6,0.01044,1.028
4271,J BIOL PHYS,0092-0606,584,1.864,1.478,0.485,33,6.2,0.00188,0.562
4272,J BIOL REG HOMEOS AG,0393-974X,645,5.183,3.331,0.239,67,2,0.00134,0.59
4273,J BIOL RES-THESSALON,1790-045X,96,0.619,0.573,0.312,32,,0.00031,0.163
4274,J BIOL RHYTHM,0748-7304,2140,2.934,3.114,0.423,52,8.1,0.00498,1.19
4275,J BIOL SYST,0218-3390,308,0.57,0.694,0.049,41,7,0.0007,0.194
4276,J BIOMAT SCI-POLYM E,0920-5063,3116,1.691,2.215,0.39,154,7.4,0.00562,0.554
4277,J BIOMATER APPL,0885-3282,725,2.082,2.265,0.375,48,5.9,0.00161,0.564
4278,J BIOMECH,0021-9290,19002,2.434,3.023,0.444,441,8.8,0.03566,0.883
4279,J BIOMECH ENG-T ASME,0148-0731,5580,1.896,2.132,0.28,161,9.8,0.00949,0.676
4280,J BIOMED BIOTECHNOL,1110-7243,2296,2.436,2.36,0.408,417,1.9,0.00961,0.716
4281,J BIOMED INFORM,1532-0464,1548,1.792,2.151,0.713,108,4.5,0.00576,0.716
4282,J BIOMED MATER RES A,1549-3296,11292,2.625,3.105,0.496,270,4.7,0.03553,0.798
4283,J BIOMED MATER RES B,1552-4973,4494,2.147,2.305,0.266,177,4.3,0.01616,0.64
4284,J BIOMED NANOTECHNOL,1550-7033,1226,4.216,3.25,0.79,181,2.5,0.00269,0.481
4285,J BIOMED OPT,1083-3668,8303,3.157,3.48,0.48,465,4.4,0.02321,0.803
4286,J BIOMED SCI,1021-7770,1838,1.98,1.971,0.198,96,5.8,0.00482,0.552
4287,J BIOMOL NMR,0925-2738,5118,3.612,2.547,0.711,114,>10.0,0.00989,1.071
4288,J BIOMOL SCREEN,1087-0571,2131,2.049,2.066,0.46,126,5.5,0.00604,0.602
4289,J BIONIC ENG,1672-6529,335,1.023,,0.058,52,3.3,0.00143,
4290,J BIOPHARM STAT,1054-3406,837,1.342,1.338,0.244,78,5.1,0.0039,0.614
4291,J BIOPHOTONICS,1864-063X,849,4.343,4.433,0.512,86,2.4,0.00421,1.272
4292,J BIOSCI BIOENG,1389-1723,5230,1.793,2.149,0.243,267,6.4,0.01026,0.536
4293,J BIOSCIENCES,0250-5991,1764,1.648,2.218,0.141,85,6,0.00523,0.722
4294,J BIOTECHNOL,0168-1656,10853,3.045,3.288,0.455,242,6.8,0.02382,0.903
4295,J BONE JOINT SURG AM,0021-9355,34294,3.272,4.289,0.303,310,>10.0,0.03456,0.941
4296,J BONE JOINT SURG BR,0301-620X,18253,2.832,3.405,0.416,296,>10.0,0.01748,0.652
4297,J BONE MINER METAB,0914-8779,1701,2.268,2.266,0.367,90,5.2,0.00531,0.7
4298,J BONE MINER RES,0884-0431,21405,6.373,6.459,1.556,295,7.9,0.0484,2.249
4299,J BRAS PNEUMOL,1806-3713,884,1.391,,0.292,96,3.2,0.00269,
4300,J BRAZ SOC MECH SCI,1678-5878,220,0.2,,0,55,6.5,0.00069,
4301,J BRAZIL CHEM SOC,0103-5053,3137,1.434,1.465,0.203,300,5.3,0.00676,0.307
4302,J BREAST CANCER,1738-6756,96,0.318,,0.132,68,,0.00012,
4303,J BREATH RES,1752-7155,352,2.541,2.448,0.649,37,3,0.00102,0.412
4304,J BRIDGE ENG,1084-0702,660,0.623,0.784,0.165,91,6.6,0.00232,0.363
4305,J BRYOL,0373-6687,648,1.222,1.069,0.116,43,9.7,0.00089,0.237
4306,J BUILD PERFORM SIMU,1940-1493,52,0.718,,0.227,22,,0.00026,
4307,J BUILD PHYS,1744-2591,122,0.714,0.976,0.429,14,4.4,0.00059,0.376
4308,J BUON,1107-0625,350,0.607,,0.113,115,3.2,0.00116,
4309,J BURN CARE RES,1559-047X,1141,1.366,1.531,0.272,114,3.6,0.00563,0.427
4310,J BUS ECON STAT,0735-0015,2919,1.779,2.442,0.583,48,>10.0,0.01064,3.2
4311,J CAMEL PRACT RES,0971-6777,97,0.061,0.123,0.036,28,,0.0001,0.025
4312,J CAN DENT ASSOC,1488-2159,1087,1,1.361,0.104,48,8.7,0.00211,0.432
4313,J CAN PETROL TECHNOL,0021-9487,639,0.328,0.361,0.212,52,>10.0,0.00133,0.162
4314,J CANCER EDUC,0885-8195,704,0.762,0.85,0.154,104,6.5,0.00173,0.267
4315,J CANCER RES CLIN,0171-5216,4190,2.558,2.531,0.47,202,5.9,0.01083,0.74
4316,J CANCER SURVIV,1932-2259,428,2.629,,0.31,42,3.2,0.00245,
4317,J CARBOHYD CHEM,0732-8303,826,0.631,0.929,0.073,41,>10.0,0.00079,0.234
4318,J CARD FAIL,1071-9164,3237,3.66,3.701,0.558,129,4.8,0.01353,1.358
4319,J CARDIAC SURG,0886-0440,1236,0.865,0.905,0.079,101,6.3,0.00402,0.341
4320,J CARDIOL,0914-5087,832,1.284,,0.471,85,3.6,0.00193,
4321,J CARDIOPULM REHABIL,1932-7501,1100,1.692,,0.309,55,7.4,0.00238,
4322,J CARDIOTHOR VASC AN,1053-0770,2394,1.64,1.358,0.325,191,6.1,0.00652,0.431
4323,J CARDIOTHORAC SURG,1749-8090,389,1.187,1.077,0.063,159,2.6,0.00264,0.409
4324,J CARDIOVASC ELECTR,1045-3873,6171,3.064,2.932,0.532,190,6.1,0.01767,0.964
4325,J CARDIOVASC MAGN R,1097-6647,1525,3.717,3.354,0.425,80,4,0.00589,1.021
4326,J CARDIOVASC MED,1558-2027,981,1.51,1.076,0.43,86,2.9,0.00475,0.296
4327,J CARDIOVASC NURS,0889-4655,877,1.431,1.706,0.167,66,5.2,0.0027,0.484
4328,J CARDIOVASC PHARM,0160-2446,6013,2.287,2.345,0.611,175,8.9,0.01029,0.703
4329,J CARDIOVASC PHARM T,1074-2484,532,1.753,1.599,0.532,47,5.1,0.00122,0.366
4330,J CARDIOVASC SURG,0021-9509,1801,1.559,1.318,0.265,102,9.7,0.004,0.449
4331,J CARDIOVASC TRANSL,1937-5387,457,2.611,2.183,0.557,79,1.6,0.0026,0.759
4332,J CATAL,0021-9517,33570,6.002,6.201,0.84,238,9.6,0.04417,1.569
4333,J CATARACT REFR SURG,0886-3350,8883,2.264,2.429,0.429,303,6.2,0.02109,0.673
4334,J CAVE KARST STUD,1090-6924,314,1.171,1.385,0,13,6.6,0.00113,0.594
4335,J CELL AUTOM,1557-5969,53,0.34,0.45,0.115,26,,0.00045,0.226
4336,J CELL BIOCHEM,0730-2312,13724,2.868,3.123,0.534,399,5.9,0.04212,1.055
