Rank,Journal Title,ISSN,Total Cites,IF,5-Year IF,Immediacy Index,Articles,Cited Half-life,Eigenfactor Score,Article Influence Score
5000,J MATH FLUID MECH,1422-6928,426,1.415,1.409,0.289,45,5.7,0.00273,1.046
5001,J MATH IMAGING VIS,0924-9907,1207,1.767,1.696,0.333,63,6.8,0.00531,1.07
5002,J MATH INEQUAL,1846-579X,165,0.704,,0.046,65,3.1,0.00131,
5003,J MATH LOG,0219-0613,65,0.364,0.821,0,5,,0.00081,1.183
5004,J MATH MUSIC,1745-9737,32,0.524,0.551,0.455,11,,0.00007,0.08
5005,J MATH PHYS,0022-2488,13425,1.296,1.284,0.292,513,>10.0,0.02917,0.716
5006,J MATH PHYS ANAL GEO,1812-9471,33,0.289,,0,21,,0.00045,
5007,J MATH PSYCHOL,0022-2496,1441,1.622,1.643,0.2,30,>10.0,0.00293,0.903
5008,J MATH PURE APPL,0021-7824,1907,1.174,1.576,0.321,53,>10.0,0.00783,1.647
5009,J MATH SCI-U TOKYO,1340-5705,104,0.194,0.259,0,7,>10.0,0.00054,0.38
5010,J MATH SOC JPN,0025-5645,994,0.505,0.481,0.143,49,>10.0,0.00267,0.633
5011,J MATH SOCIOL,0022-250X,574,0.875,0.738,0.273,11,>10.0,0.00053,0.493
5012,J MECH,1727-7191,209,0.333,0.326,0.053,75,6.9,0.00054,0.111
5013,J MECH BEHAV BIOMED,1751-6161,1337,2.368,3.122,0.5,244,2.4,0.00618,0.912
5014,J MECH DESIGN,1050-0472,3547,1.247,1.445,0.152,138,8.7,0.00659,0.498
5015,J MECH MATER STRUCT,1559-3959,383,0.46,0.668,0.17,47,4.8,0.00273,0.354
5016,J MECH MED BIOL,0219-5194,314,0.758,0.96,0.119,126,3.8,0.00039,0.1
5017,J MECH PHYS SOLIDS,0022-5096,10460,3.406,3.746,0.784,116,>10.0,0.02104,1.812
5018,J MECH ROBOT,1942-4302,197,0.967,1.071,0.23,61,2.5,0.00095,0.319
5019,J MECH SCI TECHNOL,1738-494X,1170,0.616,0.595,0.062,467,3.5,0.00479,0.166
5020,J MED BIOCHEM,1452-8258,114,1.084,,0.067,45,2.2,0.00012,
5021,J MED BIOL ENG,1609-0985,289,0.904,,0.133,60,3.4,0.0009,
5022,J MED CHEM,0022-2623,59227,5.614,5.383,1.225,890,7.8,0.09182,1.35
5023,J MED DEVICES,1932-6181,128,0.67,,0.039,51,3.1,0.00063,
5024,J MED ENTOMOL,0022-2585,6653,1.857,2.268,0.27,189,9.6,0.00889,0.598
5025,J MED ETHICS,0306-6800,2473,1.419,1.414,0.671,149,5.7,0.00734,0.502
5026,J MED FOOD,1096-620X,2456,1.642,1.854,0.293,150,4.4,0.00586,0.389
5027,J MED GENET,0022-2593,11563,5.703,5.793,1.353,116,7.9,0.02757,2.396
5028,J MED IMAG HEALTH IN,2156-7018,41,0.642,0.642,0.115,61,,0.00005,0.055
5029,J MED IMAG RADIAT ON,1754-9477,373,0.981,1.098,0.131,99,3.2,0.00179,0.313
5030,J MED INTERNET RES,1438-8871,2421,3.768,4.728,0.493,148,4.4,0.00764,1.333
5031,J MED MICROBIOL,0022-2615,7664,2.297,2.636,0.516,256,6.6,0.01812,0.821
5032,J MED PRIMATOL,0047-2565,817,1.106,1.047,0.037,54,8.5,0.00141,0.292
5033,J MED SCREEN,0969-1413,999,2.354,2.265,0.485,33,7.5,0.00256,0.858
5034,J MED SYST,0148-5598,1412,1.783,1.863,0.136,368,4,0.00263,0.331
5035,J MED ULTRASON,1346-4523,129,0.635,0.549,0.024,41,4.6,0.00032,0.126
5036,J MED VIROL,0146-6615,8217,2.373,2.375,0.416,267,7.1,0.01716,0.685
5037,J MEM LANG,0749-596X,6236,2.802,4.778,0.41,83,>10.0,0.01334,2.34
5038,J MEMBRANE BIOL,0022-2631,4393,2.478,2.215,0.21,81,>10.0,0.00474,0.684
5039,J MEMBRANE SCI,0376-7388,33770,4.093,4.357,0.678,612,6.5,0.0629,1.054
5040,J MENS HEALTH,1875-6867,114,0.797,,0,33,3.2,0.00047,
5041,J METAMORPH GEOL,0263-4929,3679,3.4,3.892,0.627,51,>10.0,0.00532,1.209
5042,J METEOROL SOC JPN,0026-1165,2932,0.8,1.967,0.281,96,>10.0,0.00656,1.03
5043,J MEX CHEM SOC,1870-249X,183,0.28,0.618,0.134,67,4.8,0.00047,0.133
5044,J MICRO-NANOLITH MEM,1932-5150,449,1.148,0.975,0.177,96,3,0.00173,0.226
5045,J MICROBIOL,1225-8873,1695,1.276,1.576,0.232,155,5.3,0.00493,0.469
5046,J MICROBIOL BIOTECHN,1017-7825,2696,1.399,1.465,0.122,245,4.6,0.00833,0.371
5047,J MICROBIOL IMMUNOL,1684-1182,1156,1.631,,0.227,75,5.5,0.00305,
5048,J MICROBIOL METH,0167-7012,7548,2.161,2.506,0.321,249,7.2,0.01579,0.757
5049,J MICROELECTROMECH S,1057-7157,5266,2.129,2.439,0.299,174,7.4,0.01176,0.848
5050,J MICROENCAPSUL,0265-2048,2050,1.571,1.772,0.185,81,9.4,0.00224,0.363
5051,J MICROMECH MICROENG,0960-1317,8310,1.79,2.118,0.285,365,5.7,0.0243,0.683
5052,J MICROPALAEONTOL,0262-821X,291,0.778,0.73,0.286,14,>10.0,0.00032,0.243
5053,J MICROSC-OXFORD,0022-2720,5677,1.633,1.887,0.504,129,>10.0,0.01055,0.705
5054,J MIDWIFERY WOM HEAL,1526-9523,1004,1.254,1.52,0.384,86,5.8,0.00224,0.393
5055,J MIN METALL B,1450-5339,182,1.435,1.309,0.306,49,3.4,0.00044,0.257
5056,J MIN SCI+,1062-7391,217,0.223,0.225,0.033,91,7,0.00032,0.045
5057,J MINER PETROL SCI,1345-6296,242,0.589,0.617,0.179,28,5.7,0.00088,0.256
5058,J MINIM INVAS GYN,1553-4650,1572,1.608,1.702,0.215,135,4.2,0.00598,0.482
5059,J MOD DYNAM,1930-5311,106,0.673,0.835,0,20,3.7,0.00261,1.173
5060,J MOD OPTIC,0950-0340,3524,1.163,0.918,0.319,216,9.5,0.00888,0.4
5061,J MOL BIOL,0022-2836,70025,3.905,3.888,1.169,439,>10.0,0.14471,1.803
5062,J MOL CATAL A-CHEM,1381-1169,17999,3.187,3.319,0.496,266,6.8,0.02685,0.752
5063,J MOL CATAL B-ENZYM,1381-1177,4943,2.823,2.805,0.542,201,5.6,0.00929,0.599
5064,J MOL CELL BIOL,1674-2788,651,7.308,8.271,1.757,37,2,0.00345,2.809
5065,J MOL CELL CARDIOL,0022-2828,11674,5.148,5.034,1.478,232,6.3,0.03095,1.673
5066,J MOL DIAGN,1525-1578,2500,3.952,3.77,0.676,71,4.7,0.00887,1.252
5067,J MOL ENDOCRINOL,0952-5041,3266,3.577,3.347,0.667,66,7.5,0.00639,1.062
5068,J MOL EVOL,0022-2844,8397,2.145,2.379,0.312,48,>10.0,0.00829,0.884
5069,J MOL GRAPH MODEL,1093-3263,5010,2.325,2.223,0.323,99,>10.0,0.0052,0.565
5070,J MOL HISTOL,1567-2379,864,1.551,1.744,0.136,81,5.4,0.00248,0.489
5071,J MOL LIQ,0167-7322,2774,1.684,1.599,0.39,241,5.4,0.00676,0.425
5072,J MOL MED,0946-2716,6118,4.768,5.012,1.081,123,5.8,0.01831,1.731
5073,J MOL MICROB BIOTECH,1464-1801,1502,1.679,2.333,0.152,33,8.5,0.00283,0.727
5074,J MOL MODEL,1610-2940,3157,1.984,2.301,0.378,463,4.7,0.00825,0.53
5075,J MOL NEUROSCI,0895-8696,3094,2.891,2.662,0.614,236,4.8,0.00829,0.771
5076,J MOL RECOGNIT,0952-3499,2027,3.006,2.78,0.319,72,6.8,0.00518,0.94
5077,J MOL SPECTROSC,0022-2852,5790,1.67,1.489,0.281,114,>10.0,0.00578,0.478
5078,J MOL STRUC-THEOCHEM,0166-1280,7747,1.371,1.281,,0,8.8,0.01071,0.319
5079,J MOL STRUCT,0022-2860,12823,1.404,1.453,0.315,615,7.5,0.01745,0.293
5080,J MOLLUS STUD,0260-1230,1186,1.358,1.43,0.277,47,>10.0,0.00194,0.458
5081,J MORPHOL,0362-2525,4364,1.602,1.719,0.343,105,>10.0,0.00484,0.553
5082,J MOTOR BEHAV,0022-2895,1819,1.042,1.802,0.213,47,>10.0,0.00254,0.598
5083,J MT SCI-ENGL,1672-6316,328,0.664,0.885,0.094,85,4.4,0.00075,0.184
5084,J MULT-VALUED LOG S,1542-3980,164,1.047,0.757,0.1,70,3.3,0.00049,0.164
5085,J MULTIMODAL USER IN,1783-7677,42,0.833,0.6,0.061,33,,0.0002,0.177
5086,J MULTIVARIATE ANAL,0047-259X,2673,1.063,1.252,0.202,168,8.6,0.0137,1.096
5087,J MUSCLE RES CELL M,0142-4319,1331,1.358,1.57,0.578,45,>10.0,0.00143,0.541
5088,J MUSCULOSKEL NEURON,1108-7161,799,2.453,,0.138,29,7.6,0.00171,
5089,J MUSCULOSKELET PAIN,1058-2452,324,0.328,0.443,1.029,35,>10.0,0.00033,0.127
5090,J MYCOL MED,1156-5233,271,0.74,0.739,0.14,50,4.8,0.00037,0.096
5091,J N AM BENTHOL SOC,0887-3593,4093,2.957,3.121,,0,9,0.00719,1.012
5092,J NANO RES-SW,1662-5250,148,0.341,0.563,0.059,68,3.4,0.00081,0.18
5093,J NANOELECTRON OPTOE,1555-130X,256,0.479,0.696,0.389,131,3.2,0.00096,0.209
5094,J NANOMATER,1687-4110,1112,1.547,1.633,0.193,497,2.5,0.00401,0.394
5095,J NANOPART RES,1388-0764,5724,2.175,2.721,0.222,650,3.7,0.01721,0.673
5096,J NANOPHOTONICS,1934-2608,479,1.644,1.566,0.337,83,2.7,0.00257,0.509
5097,J NANOSCI NANOTECHNO,1533-4880,9716,1.149,1.171,0.171,1518,3.5,0.02585,0.236
5098,J NAT CONSERV,1617-1381,473,1.535,1.843,0.213,47,4.7,0.0015,0.56
5099,J NAT FIBERS,1544-0478,104,0.558,,0,21,4.7,0.00025,
5100,J NAT GAS CHEM,1003-9953,844,1.405,1.527,0.221,86,3.7,0.00264,0.348
5101,J NAT HIST,0022-2933,2264,0.778,0.826,0.197,137,>10.0,0.00358,0.286
5102,J NAT MED-TOKYO,1340-3443,825,1.516,1.573,0.351,94,3.7,0.0028,0.352
5103,J NAT PROD,0163-3864,19898,3.285,3.267,0.787,333,8.7,0.02714,0.756
5104,J NATL COMPR CANC NE,1540-1405,1890,5.112,,0.522,115,3.1,0.01197,
5105,J NATL MED ASSOC,0027-9684,2473,0.914,1.291,0,48,7.1,0.00603,0.481
5106,J NATL SCI FOUND SRI,1391-4588,66,0.153,,0.033,30,,0.0002,
5107,J NAVIGATION,0373-4633,487,0.618,0.826,0.156,45,7.4,0.00126,0.297
5108,J NEAR INFRARED SPEC,0967-0335,948,1.424,1.443,0.864,59,7.7,0.00133,0.324
5109,J NEPAL MED ASSOC,0028-2715,103,0.08,,0,11,4.7,0.00033,
5110,J NEPHROL,1121-8428,2045,2.015,1.689,0.444,151,5,0.0052,0.459
5111,J NERV MENT DIS,0022-3018,7108,1.842,2.292,0.262,160,>10.0,0.01017,0.796
5112,J NETW COMPUT APPL,1084-8045,773,1.467,1.251,0.4,175,2.7,0.00255,0.317
5113,J NETW SYST MANAG,1064-7570,186,0.432,0.8,0.08,25,6.2,0.0003,0.153
5114,J NEURAL ENG,1741-2560,2308,3.282,4.049,0.667,117,3.8,0.00939,1.246
5115,J NEURAL TRANSM,0300-9564,5638,3.052,2.773,0.645,169,6.4,0.01289,0.799
5116,J NEURO-ONCOL,0167-594X,7895,3.115,3.194,0.782,317,5.3,0.02043,0.892
5117,J NEURO-OPHTHALMOL,1070-8022,916,1.628,1.492,0.585,53,6.5,0.00195,0.423
5118,J NEUROCHEM,0022-3042,38963,3.973,4.25,1.129,417,8.5,0.07057,1.3
5119,J NEURODEV DISORD,1866-1947,313,3.448,3.56,0.48,25,2.2,0.00216,1.464
5120,J NEUROENDOCRINOL,0953-8194,5294,3.331,3.482,0.896,144,6.5,0.01242,1.045
5121,J NEUROENG REHABIL,1743-0003,1127,2.567,3.259,0.37,81,3.8,0.00398,0.903
5122,J NEUROGENET,0167-7063,498,2.159,1.894,0.105,38,7.3,0.00165,0.766
5123,J NEUROIMAGING,1051-2284,1255,1.409,1.488,0.462,78,5.8,0.00364,0.499
5124,J NEUROIMMUNE PHARM,1557-1890,1213,3.802,4.044,0.765,85,3.5,0.00444,1.12
5125,J NEUROIMMUNOL,0165-5728,9636,3.033,3.014,0.509,165,7.8,0.01747,0.855
5126,J NEUROINFLAMM,1742-2094,2590,4.351,5.071,0.511,276,2.9,0.00957,1.344
5127,J NEUROINTERV SURG,1759-8478,353,1.378,1.448,0.874,103,1.7,0.00125,0.416
5128,J NEUROL,0340-5354,10118,3.578,3.598,0.757,300,6.3,0.02642,1.175
5129,J NEUROL NEUROSUR PS,0022-3050,23923,4.924,5.144,1.69,187,>10.0,0.03881,1.82
5130,J NEUROL PHYS THER,1557-0576,403,1.646,,0.13,23,5,0.00152,
5131,J NEUROL SCI,0022-510X,12790,2.243,2.413,0.377,438,8.4,0.0249,0.737
5132,J NEUROL SCI-TURK,1302-1664,53,0.138,,0,111,,0.00014,
5133,J NEUROLINGUIST,0911-6044,639,1.115,1.724,0.641,39,5.6,0.00216,0.666
5134,J NEUROPATH EXP NEUR,0022-3069,8523,4.345,4.535,0.773,88,9.4,0.01378,1.479
5135,J NEUROPHYSIOL,0022-3077,43389,3.301,3.607,0.661,598,>10.0,0.08042,1.505
5136,J NEUROPSYCH CLIN N,0895-0172,3164,2.397,2.978,0.158,57,>10.0,0.00439,0.901
5137,J NEUROPSYCHOL,1748-6645,256,2.438,2.685,0.4,15,4,0.0016,0.989
5138,J NEURORADIOLOGY,0150-9861,584,1.237,1.253,0.06,50,7,0.00141,0.415
5139,J NEUROSCI,0270-6474,160915,6.908,7.869,0.978,1668,7.5,0.44129,3.179
5140,J NEUROSCI METH,0165-0270,11483,2.114,2.484,0.367,327,7.8,0.02673,0.853
5141,J NEUROSCI NURS,0888-0395,460,0.756,,0.048,42,7,0.00091,
5142,J NEUROSCI RES,0360-4012,14609,2.974,3.018,0.546,227,8.2,0.02582,0.909
5143,J NEUROSURG,0022-3085,28432,3.148,3.133,0.753,324,>10.0,0.03319,0.96
5144,J NEUROSURG ANESTH,0898-4921,914,1.667,1.76,0.776,49,7.4,0.00177,0.505
5145,J NEUROSURG SCI,0390-5616,473,0.53,,0.194,31,>10.0,0.00056,
5146,J NEUROSURG-PEDIATR,1933-0707,1357,1.628,1.722,0.24,208,3,0.00656,0.501
5147,J NEUROSURG-SPINE,1547-5654,3156,1.978,2.154,0.382,186,4.8,0.0135,0.786
5148,J NEUROTRAUM,0897-7151,9059,4.295,4.771,0.875,264,6,0.02162,1.365
5149,J NEUROVIROL,1355-0284,2043,2.85,2.458,0.262,61,8.1,0.00362,0.717
5150,J NEW MAT ELECTR SYS,1480-2422,446,0.532,0.671,0.1,20,8.7,0.00071,0.183
5151,J NEW MUSIC RES,0929-8215,341,0.446,0.767,0.478,23,8.4,0.00085,0.376
5152,J NON-CRYST SOLIDS,0022-3093,20564,1.597,1.54,0.307,596,>10.0,0.02742,0.45
5153,J NON-EQUIL THERMODY,0340-0204,352,1,0.991,0.35,20,>10.0,0.00074,0.396
5154,J NON-NEWTON FLUID,0377-0257,3949,1.567,1.882,0.37,92,9.4,0.00767,0.685
5155,J NONCOMMUT GEOM,1661-6952,78,0.878,0.841,0.167,18,,0.00165,1.07
5156,J NONDESTRUCT EVAL,0195-9298,366,1.091,1.235,0.081,37,>10.0,0.00078,0.456
5157,J NONLINEAR CONVEX A,1345-4773,433,0.976,1.087,0.151,53,6.2,0.00196,0.612
5158,J NONLINEAR MATH PHY,1402-9251,495,0.569,0.735,0.212,52,6.2,0.00185,0.333
5159,J NONLINEAR OPT PHYS,0218-8635,284,0.481,0.443,0.037,54,7.8,0.00067,0.142
5160,J NONLINEAR SCI,0938-8974,686,1.566,2.026,0.5,36,9.1,0.00288,1.44
5161,J NONPARAMETR STAT,1048-5252,471,0.533,0.652,0.143,63,8.1,0.00295,0.672
5162,J NUCL CARDIOL,1071-3581,2399,2.847,2.821,0.752,101,5.3,0.00669,0.786
5163,J NUCL MATER,0022-3115,14177,1.211,1.402,0.341,461,8.7,0.03505,0.541
5164,J NUCL MED,0161-5505,21262,5.774,6.402,0.934,243,7.2,0.04678,1.954
5165,J NUCL SCI TECHNOL,0022-3131,2003,1.033,0.672,0.193,114,9.1,0.00568,0.324
5166,J NUMBER THEORY,0022-314X,1437,0.466,0.529,0.175,171,9.9,0.00904,0.582
5167,J NUMER MATH,1570-2820,106,0.379,0.71,0.167,6,6.2,0.00069,0.568
5168,J NURS ADMIN,0002-0443,1750,1.329,1.591,0.226,84,7.5,0.00279,0.399
5169,J NURS CARE QUAL,1057-3631,560,0.77,1.204,0.235,51,6.2,0.00121,0.319
5170,J NURS EDUC,0148-4834,1518,1.133,1.329,0.171,105,6.4,0.00246,0.273
5171,J NURS MANAGE,0966-0429,1496,1.454,,0.352,105,4.9,0.00389,
5172,J NURS RES,1682-3141,316,0.578,,0.062,32,6.7,0.00056,
5173,J NURS SCHOLARSHIP,1527-6546,1332,1.612,2.043,0.192,52,7.4,0.00269,0.599
5174,J NUTR,0022-3166,34300,4.196,4.686,0.836,311,9.5,0.04379,1.343
5175,J NUTR BIOCHEM,0955-2863,5792,4.552,4.724,0.808,213,5.6,0.01212,1.129
5176,J NUTR EDUC BEHAV,1499-4046,1708,1.549,2.359,0.429,91,7,0.00318,0.608
5177,J NUTR HEALTH AGING,1279-7707,2254,2.394,2.826,0.261,142,3.9,0.00694,0.695
5178,J NUTR SCI VITAMINOL,0301-4800,1505,0.992,1.37,0.092,65,8.6,0.00222,0.335
5179,J NUTRIGENET NUTRIGE,1661-6499,146,1.312,,0.176,17,3.1,0.00068,
5180,J OBSTET GYNAECOL,0144-3615,1495,0.546,0.594,0.061,247,5.6,0.00429,0.184
5181,J OBSTET GYNAECOL RE,1341-8076,1584,0.841,0.983,0.2,225,4.4,0.00505,0.277
5182,J OCCUP ENVIRON HYG,1545-9624,926,1.278,1.274,0.208,101,4.8,0.00309,0.376
5183,J OCCUP ENVIRON MED,1076-2752,5138,1.845,2.239,0.451,195,8,0.01016,0.704
5184,J OCCUP HEALTH,1341-9145,2199,1.634,1.803,0.138,58,10,0.00285,0.534
5185,J OCEANOGR,0916-8370,1753,1.051,1.503,0.514,74,8.7,0.00415,0.643
5186,J OCUL PHARMACOL TH,1080-7683,1177,1.293,1.324,0.139,101,6.2,0.00267,0.36
5187,J OFF STAT,0282-423X,525,0.343,,0.043,23,>10.0,0.00119,
5188,J OFFSHORE MECH ARCT,0892-7219,445,0.506,0.638,0.263,57,8.7,0.00115,0.301
5189,J OIL PALM RES,1511-2780,152,0.23,0.254,0,13,8.9,0.00014,0.059
5190,J OLEO SCI,1345-8957,844,1.242,,0.088,91,4.9,0.00186,
5191,J OPER MANAG,0272-6963,4825,4.4,7.13,0.351,37,8,0.00988,2.282
5192,J OPER OCEANOGR,1755-876X,63,1.353,1.341,0.667,12,,0.00033,0.456
5193,J OPER RES SOC,0160-5682,4574,0.989,1.282,0.116,146,>10.0,0.00902,0.602
5194,J OPERAT THEOR,0379-4024,676,0.565,0.615,0.179,56,>10.0,0.00277,0.725
5195,J OPHTHALMOL,2090-004X,145,1.368,1.28,0.276,76,1.7,0.00072,0.44
5196,J OPT COMMUN NETW,1943-0620,530,1.433,1.688,0.224,134,2.7,0.00353,0.683
5197,J OPT SOC AM A,1084-7529,12708,1.665,1.698,0.391,350,>10.0,0.01893,0.623
5198,J OPT SOC AM B,0740-3224,11342,2.21,2.017,0.497,487,9.2,0.02646,0.771
5199,J OPT SOC KOREA,1226-4776,278,1.022,0.754,0.097,72,2.9,0.00083,0.153
5200,J OPT TECHNOL+,1070-9762,444,0.245,0.264,0.06,167,5.8,0.00118,0.081
5201,J OPTICS-UK,2040-8978,1259,1.99,1.99,0.489,233,2,0.00802,0.795
5202,J OPTIMIZ THEORY APP,0022-3239,4369,1.423,1.475,0.205,210,>10.0,0.00995,0.797
5203,J OPTOELECTRON ADV M,1454-4164,2203,0.516,0.436,0.11,163,5.9,0.00464,0.103
5204,J ORAL IMPLANTOL,0160-6972,859,1.148,,0.137,95,8,0.00148,
5205,J ORAL MAXIL SURG,0278-2391,11552,1.333,1.85,0.202,475,8.7,0.01892,0.488
5206,J ORAL PATHOL MED,0904-2512,3597,2.055,2.336,0.357,115,8.5,0.00595,0.61
5207,J ORAL REHABIL,0305-182X,4400,2.344,2.316,0.343,108,9.2,0.00645,0.656
5208,J ORG CHEM,0022-3263,96723,4.564,4.135,1.101,1289,>10.0,0.12482,1.03
5209,J ORG COMP ELECT COM,1091-9392,172,0.429,0.646,0.062,16,9,0.00021,0.148
5210,J ORGAN END USER COM,1546-2234,71,0.243,,,,,0.00017,
5211,J ORGANOMET CHEM,0022-328X,21793,2,1.992,0.527,410,>10.0,0.02076,0.421
5212,J ORNITHOL,0021-8375,1767,1.632,1.744,0.288,177,5.5,0.00583,0.595
5213,J OROFAC ORTHOP,1434-5293,508,0.694,1.05,0.111,36,7.3,0.00133,0.422
5214,J OROFAC PAIN,1064-6655,1172,2.387,2.422,0.206,34,9,0.00218,0.772
5215,J ORTHOP RES,0736-0266,11439,2.875,3.336,0.544,281,8.4,0.02169,1.051
5216,J ORTHOP SCI,0949-2658,1619,0.96,1.25,0.097,124,6.9,0.00411,0.425
5217,J ORTHOP SPORT PHYS,0190-6011,3792,2.947,3.439,0.495,93,7.8,0.00694,0.965
5218,J ORTHOP SURG RES,1749-799X,337,1.013,,0.075,40,3.1,0.00191,
5219,J ORTHOP TRAUMA,0890-5339,5036,1.751,2.417,0.417,163,8.1,0.00922,0.721
5220,J OVARIAN RES,1757-2215,228,2.429,2.769,0.227,44,2.8,0.00087,0.636
5221,J PAEDIATR CHILD H,1034-4810,2756,1.254,1.432,0.24,221,7.6,0.00557,0.452
5222,J PAIN,1526-5900,4586,3.24,4.245,0.531,130,4.6,0.01574,1.332
5223,J PAIN SYMPTOM MANAG,0885-3924,6603,2.601,3.141,0.479,169,7.4,0.01473,1.013
5224,J PAK MED ASSOC,0030-9982,1152,0.409,,0.057,264,6.4,0.00204,
5225,J PALEOLIMNOL,0921-2728,3325,2.209,2.56,0.284,95,8.6,0.00695,0.834
5226,J PALEONTOL,0022-3360,3887,1.1,1.112,0.355,76,>10.0,0.0037,0.431
5227,J PALLIAT CARE,0825-8597,850,0.708,1.118,0.069,29,>10.0,0.0009,0.337
5228,J PALLIAT MED,1096-6218,2768,1.891,2.322,0.423,163,5.5,0.00871,0.779
5229,J PARASITOL,0022-3395,7522,1.321,1.334,0.294,221,>10.0,0.00731,0.362
5230,J PARKINSON DIS,1877-7171,42,1.083,1.083,0.083,36,,0.00017,0.276
5231,J PATHOL,0022-3417,14468,7.585,6.928,2.376,173,7.4,0.03474,2.427
5232,J PEDIAT HEMATOL ONC,1077-4114,2803,0.973,1.162,0.147,238,6.9,0.00636,0.356
5233,J PEDIAT OPHTH STRAB,0191-3913,974,0.861,0.779,0.146,48,>10.0,0.00129,0.285
5234,J PEDIAT-BRAZIL,0021-7557,1141,1.154,1.3,0.299,77,6,0.00224,0.302
5235,J PEDIATR ADOL GYNEC,1083-3188,830,1.63,1.581,0.329,73,5.2,0.0027,0.521
5236,J PEDIATR ENDOCR MET,0334-018X,1805,0.747,0.88,0.049,203,7.1,0.00329,0.237
5237,J PEDIATR GASTR NUTR,0277-2116,7449,2.196,2.38,0.79,286,7.2,0.01412,0.657
5238,J PEDIATR HEALTH CAR,0891-5245,653,1.763,,0.342,38,6.2,0.00146,
5239,J PEDIATR ONCOL NURS,1043-4542,492,1.044,1.241,0.028,36,6.7,0.00105,0.351
5240,J PEDIATR ORTHOP B,1060-152X,942,0.532,0.629,0.061,114,8.5,0.00173,0.235
5241,J PEDIATR ORTHOPED,0271-6798,4633,1.163,1.446,0.058,155,>10.0,0.00695,0.469
5242,J PEDIATR SURG,0022-3468,13833,1.383,1.636,0.18,527,9.3,0.02008,0.437
5243,J PEDIATR UROL,1477-5131,807,1.368,,0.308,117,3.5,0.00426,
5244,J PEDIATR-US,0022-3476,23502,4.035,4.358,0.78,336,>10.0,0.04124,1.596
5245,J PEPT SCI,1075-2617,1942,2.071,1.828,0.434,99,5.2,0.00481,0.478
5246,J PERFORM CONSTR FAC,0887-3828,446,0.576,0.703,0.072,83,6.3,0.0015,0.306
5247,J PERIANESTH NURS,1089-9472,296,1.125,,0.444,27,5.3,0.00057,
5248,J PERINAT MED,0300-5577,1830,1.949,1.803,0.088,102,6.6,0.00427,0.523
5249,J PERINAT NEONAT NUR,0893-2190,413,0.811,1.085,0.241,29,6.2,0.00094,0.306
5250,J PERINATOL,0743-8346,3544,2.248,2.165,0.458,155,6.1,0.00971,0.713
5251,J PERIODONTAL RES,0022-3484,3129,1.99,2.13,0.406,96,9.2,0.00509,0.608
5252,J PERIODONTOL,0022-3492,11846,2.398,2.904,0.322,177,9.2,0.01793,0.828
5253,J PERIPHER NERV SYST,1085-9489,1024,2.57,2.914,0.409,44,5.4,0.00319,0.974
5254,J PEST SCI,1612-4758,562,2.174,1.701,0.351,57,3.2,0.00174,0.429
5255,J PESTIC SCI,1348-589X,680,0.691,0.818,0.196,51,7.9,0.00102,0.209
5256,J PETROL,0022-3530,9868,4.714,4.89,0.741,85,>10.0,0.01521,2.035
5257,J PETROL GEOL,0141-6421,562,0.837,1,0.158,19,>10.0,0.0007,0.373
5258,J PETROL SCI ENG,0920-4105,2370,0.997,1.297,0.133,166,7.5,0.00718,0.593
5259,J PHARM INNOV,1872-5120,158,1.439,,0.095,21,3.9,0.00064,
5260,J PHARM PHARM SCI,1482-1826,1338,2.198,2.56,0.25,52,6.9,0.00243,0.636
5261,J PHARM PHARMACOL,0022-3573,7185,2.033,2.118,0.397,184,>10.0,0.0086,0.505
5262,J PHARM SCI-US,0022-3549,17986,3.13,3.385,0.6,418,9.2,0.02659,0.815
5263,J PHARMACEUT BIOMED,0731-7085,14648,2.947,2.853,0.562,443,6.3,0.02684,0.651
5264,J PHARMACOKINET PHAR,1567-567X,805,1.808,2.421,0.38,50,5.6,0.00236,0.735
5265,J PHARMACOL EXP THER,0022-3565,34930,3.891,3.959,0.935,339,9.9,0.04828,1.185
5266,J PHARMACOL SCI,1347-8613,3482,2.15,2.295,0.425,153,4.9,0.0095,0.598
5267,J PHARMACOL TOX MET,1056-8719,1153,2.15,,0.392,51,5,0.00354,
5268,J PHASE EQUILIB DIFF,1547-7037,1637,0.509,0.588,0.118,85,>10.0,0.00213,0.192
5269,J PHOTOCH PHOTOBIO A,1010-6030,13061,2.416,2.691,0.299,251,8.2,0.01762,0.63
5270,J PHOTOCH PHOTOBIO B,1011-1344,5165,3.11,2.84,0.358,162,>10.0,0.00708,0.682
5271,J PHOTOCH PHOTOBIO C,1389-5567,2026,8.069,11.952,0.75,16,7.9,0.00342,3.148
5272,J PHOTON ENERGY,1947-7988,79,1,1,0.333,42,,0.00028,0.247
5273,J PHOTOPOLYM SCI TEC,0914-9244,919,0.984,0.757,0.023,133,5.2,0.00151,0.126
5274,J PHYCOL,0022-3646,8265,2.239,2.663,0.346,153,>10.0,0.00944,0.761
5275,J PHYS A-MATH THEOR,1751-8113,21656,1.766,1.514,0.565,880,8.3,0.06201,0.691
5276,J PHYS B-AT MOL OPT,0953-4075,14302,2.031,1.864,0.635,414,9.5,0.03252,0.742
5277,J PHYS CHEM A,1089-5639,55641,2.771,2.856,0.658,1341,6.7,0.12062,0.829
5278,J PHYS CHEM B,1520-6106,119722,3.607,3.702,0.66,1615,7.5,0.18356,1.081
