Rank,Abbreviated Journal Title,ISSN,Total Cites,Impact factor,5-Year IF,Immediacy Index,Articles,Cited Half-life,Eigenfactor Score,Article Influence Score
4175,ADV ENG SOFTW,0965-9978,1900,1.422,1.523,0.315,89,5.6,0.00541,0.505
4176,ZOOL ANZ,0044-5231,1483,1.821,1.523,0.34,50,>10.0,0.00115,0.528
4177,COGN BEHAV NEUROL,1543-3633,689,1.138,1.522,0,27,7,0.00151,0.496
4178,J PEDIATR SURG,0022-3468,13407,1.311,1.521,0.182,484,9.6,0.01818,0.409
4179,BREEDING SCI,1344-7610,1091,1.342,1.521,0.265,49,6.8,0.00201,0.389
4180,PHYTOCHEM LETT,1874-3900,681,1.542,1.521,0.182,143,2.4,0.00233,0.324
4181,ROFO-FORTSCHR RONTG,1438-9029,1604,1.961,1.521,0.182,99,7.2,0.0021,0.275
4182,BMC OPHTHALMOL,1471-2415,415,1.075,1.52,0.06,83,4.7,0.00158,0.534
4183,WATER-SUI,2073-4441,282,1.291,1.52,0.176,108,2.7,0.00122,0.421
4184,POSTGRAD MED,0032-5481,1525,1.537,1.52,1.188,16,4.8,0.00403,0.434
4185,BRIT J PHILOS SCI,0007-0882,995,1.017,1.519,0.143,35,>10.0,0.00158,0.612
4186,EXP AGING RES,0361-073X,833,1.103,1.519,0.133,30,>10.0,0.00122,0.539
4187,DISABIL HEALTH J,1936-6574,249,1.5,1.519,0.128,47,3.2,0.0013,0.498
4188,J INFRASTRUCT SYST,1076-0342,724,0.648,1.518,0.143,49,7.5,0.00145,0.515
4189,NONLINEARITY,0951-7715,3269,1.2,1.517,0.289,149,7.9,0.01717,1.262
4190,CARDIOVASC ULTRASOUN,1476-7120,649,1.283,1.517,0.261,46,5.1,0.00212,0.47
4191,FLY,1933-6934,421,1.475,1.517,0.05,40,3.8,0.00304,0.771
4192,NUTR DIABETES,2044-4052,94,1.517,1.517,0.143,42,,0.00048,0.494
4193,EUR J SPORT SCI,1746-1391,600,1.314,1.516,0.239,88,4.4,0.00162,0.39
4194,INT J FRACTURE,0376-9429,4509,1.348,1.516,0.256,117,>10.0,0.00613,0.698
4195,ANN HUM BIOL,0301-4460,1580,1.148,1.515,0.182,77,>10.0,0.00278,0.492
4196,RADIOCHIM ACTA,0033-8230,2824,1.411,1.515,0.208,106,>10.0,0.00382,0.436
4197,EUR PHYS J B,1434-6028,7662,1.463,1.515,0.228,508,7.4,0.02082,0.615
4198,INT J HIGH PERFORM C,1094-3420,627,1.625,1.515,0,33,7.5,0.00181,0.662
4199,PUBLIC HEALTH,0033-3506,2563,1.475,1.514,0.444,160,6.4,0.00598,0.487
4200,ACTA GEOTECH,1861-1125,248,1.86,1.513,0.25,48,4.3,0.0012,0.625
4201,CAN GEOTECH J,0008-3674,4728,1.206,1.512,0.202,104,>10.0,0.00662,0.685
4202,PRIMATES,0032-8332,1824,1.395,1.512,0.5,44,>10.0,0.00176,0.483
4203,PHYS CHEM MINER,0342-1791,3177,1.403,1.512,0.307,75,>10.0,0.00353,0.617
4204,ANDEAN GEOL,0718-7106,190,1.532,1.512,2.111,27,1.9,0.00061,0.425
4205,J DRUGS DERMATOL,1545-9616,1877,1.32,1.511,0.192,203,4.3,0.00584,0.409
4206,J ENVIRON ENG,0733-9372,4347,1.221,1.51,0.291,175,>10.0,0.00496,0.408
4207,ANN PLAS SURG,0148-7043,6549,1.458,1.51,0.282,273,9,0.01056,0.492
4208,J COORD CHEM,0095-8972,4286,2.224,1.51,0.454,379,3.6,0.0049,0.151
4209,TRANSFUSION MED,0958-7578,1123,1.308,1.509,0.62,50,7.3,0.00213,0.47
4210,TRANSFUSION MED,0958-7578,1123,1.308,1.509,0.62,50,7.3,0.00213,0.47
4211,J TEXTURE STUD,0022-4901,1442,1.677,1.509,0.182,44,>10.0,0.00135,0.356
4212,J FORENSIC SCI,0022-1198,6456,1.306,1.508,0.248,310,9.3,0.00864,0.392
4213,PROTEIN EXPRES PURIF,1046-5928,4872,1.508,1.508,0.305,177,8,0.00773,0.442
4214,SOLID STATE ELECTRON,0038-1101,6740,1.514,1.508,0.429,296,10,0.00975,0.442
4215,NEUROMODULATION,1094-7159,721,1.785,1.507,0.341,85,4.5,0.00154,0.34
4216,TELECOMMUN POLICY,0308-5961,981,1.128,1.506,0.071,85,6.1,0.00197,0.371
4217,CLIN DRUG INVEST,1173-2563,1178,1.704,1.506,0.207,140,5,0.00287,0.409
4218,MATCH-COMMUN MATH CO,0340-6253,1442,1.829,1.506,0.532,124,4.3,0.00475,0.497
4219,ACI STRUCT J,0889-3241,3438,0.964,1.505,0.289,90,>10.0,0.00448,0.708
4220,NEUROL RES,0161-6412,3059,1.449,1.505,0.185,146,7.4,0.00548,0.398
4221,AM J DENT,0894-8275,1748,1.062,1.504,0.352,71,9.5,0.0024,0.404
4222,IND MANAGE DATA SYST,0263-5577,1211,1.345,1.504,0.157,70,6.5,0.00179,0.301
4223,INT J FOOD SCI TECH,0950-5423,4951,1.354,1.504,0.192,333,5.8,0.00985,0.355
4224,J COMPUT CIVIL ENG,0887-3801,1108,1.385,1.504,0.203,69,8.5,0.00202,0.484
4225,J NEURO-OPHTHALMOL,1070-8022,984,1.807,1.504,0.864,66,6.5,0.00178,0.397
4226,INT J ENGINE RES,1468-0874,526,1.4,1.503,0.227,44,5.8,0.0013,0.451
4227,J VECTOR ECOL,1081-1710,1035,1.436,1.503,0.136,59,6.9,0.00234,0.475
4228,PACKAG TECHNOL SCI,0894-3214,692,1.584,1.503,0.156,45,6.7,0.00099,0.298
4229,BIOCHEM MEDICA,1330-0962,399,2.4,1.503,0.459,37,3.1,0.00074,0.255
4230,J VET PHARMACOL THER,0140-7783,2111,1.323,1.502,0.186,86,9.2,0.00258,0.349
4231,NEURAL COMPUT APPL,0941-0643,1375,1.763,1.502,0.177,486,2.9,0.00291,0.276
4232,LIVEST SCI,1871-1413,3193,1.1,1.501,0.193,295,4.6,0.01053,0.425
4233,IEEE ANTENN PROPAG M,1045-9243,1787,1.152,1.501,0.3,80,7.3,0.00496,0.643
4234,INT J CONTROL,0020-7179,5130,1.137,1.5,0.485,171,>10.0,0.00928,0.648
4235,IMA J NUMER ANAL,0272-4979,1436,1.25,1.5,0.362,58,9.7,0.00631,1.328
4236,SUBST USE MISUSE,1082-6084,2408,1.226,1.499,0.293,140,6.7,0.00545,0.455
4237,IEEE T ELECTROMAGN C,0018-9375,2862,1.351,1.498,0.205,161,8.6,0.00558,0.513
4238,DIAGN CYTOPATHOL,8755-1039,3082,1.52,1.498,0.341,182,7.2,0.00558,0.396
4239,J AM SOC HORTIC SCI,0003-1062,4973,1.047,1.497,0.213,61,>10.0,0.00245,0.406
4240,IEEE ACM T COMPUT BI,1545-5963,1076,1.536,1.497,0.108,139,3.4,0.00511,0.613
4241,MAR RESOUR ECON,0738-1360,612,1.159,1.496,0.4,20,9,0.0009,0.446
4242,CLINICS,1807-5932,1993,1.422,1.495,0.283,244,3.1,0.00661,0.365
4243,SCI CHINA LIFE SCI,1674-7305,707,1.512,1.495,0.466,133,2.6,0.00262,0.368
4244,B MAR SCI,0007-4977,4411,1.333,1.494,1.302,53,>10.0,0.00252,0.568
4245,INDOOR BUILT ENVIRON,1420-326X,836,1.716,1.494,0.179,84,4.5,0.00119,0.225
4246,ANNU REP MED CHEM,0065-7743,437,1.193,1.493,0.036,28,6.5,0.00094,0.405
4247,SCI MAR,0214-8358,2550,1.247,1.493,0.222,63,>10.0,0.00349,0.508
4248,ARCH CARDIOVASC DIS,1875-2136,617,1.662,1.493,0.203,64,3.4,0.0034,0.502
4249,PROTEIN PEPTIDE LETT,0929-8665,1936,1.735,1.493,0.306,157,4.2,0.0055,0.364
4250,DENT MATER J,0287-4547,1549,0.943,1.492,0.088,137,5.6,0.00342,0.362
4251,SOFT COMPUT,1432-7643,1706,1.304,1.492,0.269,171,4.8,0.00518,0.459
4252,ANGLE ORTHOD,0003-3219,3904,1.277,1.491,0.245,147,9,0.00703,0.527
4253,APPL NEUROPSYCHOL,0908-4282,703,1.971,1.49,,0,8.6,0.00103,0.429
4254,WORLD POULTRY SCI J,0043-9339,1342,1.158,1.489,0.155,58,9.7,0.00152,0.399
4255,PHYS CHEM EARTH,1474-7065,2910,1.255,1.489,0.329,82,7.3,0.00599,0.482
4256,GEOM FUNCT ANAL,1016-443X,1406,1.319,1.489,0.277,47,>10.0,0.01308,2.897
4257,ONLINE INFORM REV,1468-4527,558,1.443,1.489,0.042,48,4.8,0.00184,0.42
4258,EVOL ECOL RES,1522-0613,1905,0.752,1.488,2.122,49,8.6,0.00301,0.542
4259,COMPUT SECUR,0167-4048,991,1.172,1.488,0.138,94,6.8,0.00211,0.448
4260,J RADIOL PROT,0952-4746,683,1.319,1.488,0.288,59,5.5,0.00213,0.523
4261,UROL RES,0300-5623,1626,1.312,1.487,,0,8.9,0.00233,0.401
4262,J OPT SOC AM A,1084-7529,12602,1.448,1.487,0.391,299,>10.0,0.01432,0.516
4263,CLIN NEUROL NEUROSUR,0303-8467,3301,1.248,1.486,0.223,555,5.7,0.0083,0.454
4264,AUST J RURAL HEALTH,1038-5282,801,1.343,1.486,0.034,59,6.2,0.00181,0.425
4265,CURR SPORT MED REP,1537-890X,732,1.6,1.486,0.304,56,5.2,0.00217,0.467
4266,J ELECTRON MICROSC,0022-0744,1100,1.632,1.486,,0,9.2,0.00252,0.545
4267,MAMM BIOL,1616-5047,825,1.337,1.485,0.342,73,4.6,0.00292,0.52
4268,J VET EMERG CRIT CAR,1479-3261,811,1.22,1.484,0.419,74,4.5,0.00202,0.354
4269,J MICROBIOL BIOTECHN,1017-7825,2979,1.32,1.484,0.227,229,5.1,0.00765,0.374
4270,COMBUST THEOR MODEL,1364-7830,976,1.489,1.484,0.267,45,7.6,0.00251,0.668
4271,J ULTRAS MED,0278-4297,4139,1.532,1.484,0.217,235,7.7,0.00819,0.453
4272,MACROMOL RES,1598-5032,1833,1.682,1.484,0.328,192,3.7,0.00379,0.265
4273,COMPUT METH PROG BIO,0169-2607,2510,1.093,1.483,0.229,218,7,0.00551,0.468
4274,MICROSC RES TECHNIQ,1059-910X,4567,1.17,1.483,0.259,170,>10.0,0.00526,0.434
4275,GROUND WATER MONIT R,1069-3629,732,1.25,1.483,0.286,35,8.5,0.00139,0.485
4276,J DERMATOL TREAT,0954-6634,1096,1.764,1.483,0.663,83,6.2,0.00225,0.417
4277,J GUID CONTROL DYNAM,0731-5090,5154,1.151,1.482,0.087,183,>10.0,0.00746,0.477
4278,J MED SYST,0148-5598,1589,1.372,1.482,0.402,97,3.2,0.00368,0.292
4279,EXP LUNG RES,0190-2148,1138,1.754,1.482,0.265,49,8.5,0.002,0.426
4280,J NEUROIMAGING,1051-2284,1356,1.818,1.482,0.386,114,6.1,0.00354,0.503
4281,INFORM PROCESS MANAG,0306-4573,1836,1.069,1.481,0.236,89,8.3,0.0039,0.637
4282,ANN LAB MED,2234-3806,131,1.481,1.481,0.239,67,1.4,0.00049,0.38
4283,PLANT BIOTECHNOL REP,1863-5466,338,1.59,1.481,0.357,56,3.5,0.00105,0.341
4284,GEOSPATIAL HEALTH,1827-1987,279,1,1.479,0.12,50,4.1,0.00098,0.4
4285,REPROD BIOL,1642-431X,396,1.048,1.479,0.208,48,6.7,0.00082,0.41
4286,IEEE T DIELECT EL IN,1070-9878,4071,1.228,1.479,0.111,279,6.9,0.00679,0.342
4287,ANN I H POINCARE-AN,0294-1449,1665,1.326,1.479,0.347,49,>10.0,0.01017,1.865
4288,PHYS REV SPEC TOP-AC,1098-4402,2089,1.517,1.479,0.403,176,4.7,0.00977,0.709
4289,AUST J EARTH SCI,0812-0099,1947,1.39,1.478,0.612,49,>10.0,0.00258,0.476
4290,J AGR ENVIRON ETHIC,1187-7863,586,1.25,1.477,0.117,60,7.5,0.00104,0.405
4291,CROP PASTURE SCI,1836-0947,730,1.284,1.477,0.861,101,3.1,0.00286,0.399
4292,J VIS COMMUN IMAGE R,1047-3203,1138,1.361,1.477,0.298,131,5.9,0.00326,0.534
4293,APPL MATH LETT,0893-9659,4509,1.48,1.477,0.531,211,4.6,0.01649,0.559
4294,METEOROL ATMOS PHYS,0177-7971,1798,1.245,1.476,0.224,67,>10.0,0.00314,0.644
4295,OXID MET,0030-770X,2051,1.366,1.476,0.232,99,>10.0,0.00179,0.471
4296,J VESTIBUL RES-EQUIL,0957-4271,692,1.456,1.476,0.059,34,9.5,0.00079,0.379
4297,PHYS STATUS SOLIDI A,1862-6300,10134,1.525,1.476,0.357,395,8.9,0.01826,0.467
4298,APPL RHEOL,1430-6395,348,1.592,1.476,1.111,27,4.5,0.00064,0.309
4299,INT J SUST DEV WORLD,1350-4509,744,1.771,1.476,0.544,57,4.6,0.00122,0.247
4300,IEEE COMPUT GRAPH,0272-1716,1676,1.116,1.475,0.178,45,>10.0,0.00306,0.914
4301,NEUROIMAG CLIN N AM,1052-5149,838,1.289,1.475,0.114,44,7.3,0.00192,0.514
4302,J BIOCHEM MOL TOXIC,1095-6670,1148,1.317,1.475,0.492,63,7.5,0.00159,0.364
4303,EUR PHYS J PLUS,2190-5444,463,1.475,1.475,0.351,151,1.8,0.00209,0.448
4304,J PHYS A-MATH THEOR,1751-8113,21885,1.687,1.475,0.789,684,8.8,0.05667,0.698
4305,J AIR WASTE MANAGE,1096-2247,4015,1.171,1.474,0.189,132,8.9,0.00521,0.462
4306,METROLOGIA,0026-1394,2297,1.653,1.474,0.507,73,7.9,0.00558,0.588
4307,J GRID COMPUT,1570-7873,366,1.667,1.473,0.171,35,4.7,0.00082,0.33
4308,PLANT BREEDING,0179-9541,2697,1.338,1.472,0.243,107,8.8,0.00375,0.388
4309,J ENERG RESOUR-ASME,0195-0738,903,1.698,1.472,0.23,61,8.9,0.0006,0.184
4310,J ASSOC NURSE AIDS C,1055-3290,714,1.228,1.471,0.222,63,6.2,0.00169,0.444
4311,J MANIP PHYSIOL THER,0161-4754,1709,1.248,1.471,0.157,70,8.1,0.00214,0.319
4312,BIOETHICS,0269-9702,908,1.356,1.471,0.333,60,6.4,0.00246,0.524
4313,RADIOL MED,0033-8362,1339,1.368,1.47,0.264,110,5.3,0.00347,0.406
4314,HEPATOB PANCREAT DIS,1499-3872,1320,1.167,1.469,0.221,86,5.5,0.00309,0.37
4315,AUST J AGR RESOUR EC,1364-985X,502,1.065,1.468,0.103,29,6.5,0.00137,0.525
4316,HYPERTENS PREGNANCY,1064-1955,819,1.192,1.468,0.209,43,7.8,0.00167,0.454
4317,AM J VET RES,0002-9645,9548,1.214,1.468,0.242,194,>10.0,0.00712,0.4
4318,IEEE COMMUN LETT,1089-7798,5491,1.463,1.468,0.17,587,5.4,0.01882,0.568
4319,OPT COMMUN,0030-4018,18419,1.542,1.468,0.438,967,7.6,0.0316,0.39
4320,NURS ETHICS,0969-7330,1074,1.093,1.467,0.156,64,6.6,0.00165,0.308
4321,J OCUL PHARMACOL TH,1080-7683,1494,1.42,1.467,0.365,115,6.6,0.00289,0.385
4322,EMU,0158-4197,1119,1.524,1.467,0.829,41,>10.0,0.0015,0.426
4323,NEOPLASMA,0028-2685,1239,1.642,1.467,0.489,90,5.5,0.00267,0.377
4324,RAFFLES B ZOOL,0217-2445,1153,0.909,1.466,0.505,95,6.3,0.00228,0.405
4325,PATTERN RECOGN LETT,0167-8655,5436,1.062,1.466,0.223,251,7.6,0.01137,0.563
4326,J CHEM SCI,0974-3626,1229,1.224,1.466,0.207,179,4.6,0.00285,0.307
4327,ACTA RADIOL,0284-1851,3446,1.35,1.466,0.191,173,8.4,0.00655,0.461
4328,J INTERPROF CARE,1356-1820,1226,1.362,1.466,0.448,96,6.4,0.00195,0.317
4329,NUMER LINEAR ALGEBR,1070-5325,1091,1.424,1.466,0.629,62,7.8,0.00485,1.081
4330,MAGN RESON CHEM,0749-1581,3753,1.559,1.466,0.355,121,8.5,0.00475,0.339
4331,SOLA,1349-6476,472,1.118,1.465,0.095,42,4.5,0.00252,0.661
4332,EXTREMES,1386-1999,443,1.167,1.465,0.455,22,9,0.00188,1.135
4333,ANN NUCL MED,0914-7187,1586,1.507,1.465,0.274,117,5.7,0.00393,0.424
4334,ANAL APPL,0219-5305,266,1.5,1.464,0.179,28,4.9,0.0022,1.196
4335,LANG SPEECH,0023-8309,925,1.12,1.463,0.68,25,>10.0,0.00162,0.897
4336,AM J HOSP PALLIAT ME,1049-9091,957,1.347,1.463,0.165,121,5.3,0.00247,0.402
4337,NEW ZEAL J ECOL,0110-6465,953,1.086,1.462,0.571,42,>10.0,0.00134,0.514
4338,ROBOT AUTON SYST,0921-8890,1864,1.105,1.462,0.123,138,6.8,0.00498,0.543
4339,AM J PHARM EDUC,0002-9459,1765,1.188,1.461,0.389,157,5,0.00217,0.187
4340,J LOSS PREVENT PROC,0950-4230,1779,1.347,1.461,0.211,190,6.5,0.00353,0.388
4341,PERS UBIQUIT COMPUT,1617-4909,988,1.616,1.461,0.25,148,6.1,0.00203,0.397
4342,FUNCT MATER LETT,1793-6047,447,1.622,1.461,0.167,84,2.7,0.00153,0.31
4343,ITAL J GEOSCI,2038-1719,251,1.679,1.461,3.054,37,1.3,0.00076,0.512
4344,AEROBIOLOGIA,0393-5965,896,1.202,1.46,0.413,46,9.6,0.00102,0.349
4345,BIOMED ENVIRON SCI,0895-3988,1343,1.257,1.46,0.286,91,6.4,0.00262,0.373
4346,J SURV ENG,0733-9453,349,1,1.459,0.15,20,6.3,0.00118,0.647
4347,P I MECH ENG H,0954-4119,1938,1.144,1.459,0.219,137,7.3,0.00398,0.444
4348,SURF ENG,0267-0844,1285,1.51,1.459,0.155,129,4.5,0.00186,0.211
4349,CLIN ANAT,0897-3806,2117,1.159,1.458,0.238,126,6.7,0.00436,0.422
4350,ICHTHYOL EXPLOR FRES,0936-9902,655,2.275,1.458,0.414,29,9.8,0.00091,0.379
4351,J ELECTROSTAT,0304-3886,2487,1.265,1.457,0.144,181,9.8,0.00334,0.42
4352,J INFECT DEV COUNTR,1972-2680,1003,1.267,1.455,0.23,122,3.5,0.00464,0.431
4353,INT J HEMATOL,0925-5710,2808,1.679,1.455,0.235,196,5.3,0.00785,0.455
4354,CAN J REMOTE SENS,1712-7971,1468,1.092,1.454,0.083,48,9.1,0.00277,0.492
4355,INT J ARTIF ORGANS,0391-3988,1764,1.448,1.454,0.109,101,7.2,0.00304,0.364
4356,OPHTHALMOLOGICA,0030-3755,1667,1.867,1.454,0.2,75,>10.0,0.00263,0.451
4357,ANN TROP MED PARASIT,0003-4983,2765,1.203,1.453,,0,>10.0,0.00229,0.414
4358,CHEMOTHERAPY,0009-3157,1339,1.554,1.453,0.073,41,8.2,0.00185,0.324
4359,OIL GAS SCI TECHNOL,1294-4475,1000,1.107,1.452,0.116,69,6.8,0.00221,0.453
4360,NORD J PSYCHIAT,0803-9488,1142,1.5,1.452,0.345,58,7.3,0.00218,0.418
4361,ANN APPL PROBAB,1050-5164,2149,1.438,1.451,0.403,77,9.5,0.0108,1.673
4362,CAN J NEUROL SCI,0317-1671,2503,1.599,1.451,0.356,104,9.5,0.00455,0.456
4363,J MANAGE ENG,0742-597X,642,1.111,1.449,0.135,52,8.1,0.00101,0.411
4364,MOBILE NETW APPL,1383-469X,1068,1.496,1.449,0.265,68,7.2,0.00265,0.555
4365,METHOD INFORM MED,0026-1270,1348,1.083,1.448,0.978,46,7.7,0.00208,0.381
4366,ADV MATH,0001-8708,5548,1.353,1.447,0.247,299,8.7,0.04892,2.222
4367,J NAT GAS SCI ENG,1875-5100,249,1.406,1.447,0.235,68,2.5,0.00167,0.621
4368,INT J NUMER METH BIO,2040-7939,531,1.542,1.447,0.585,82,2.5,0.00325,0.583
4369,PERCEPTION,0301-0066,4953,1.114,1.446,0.215,121,>10.0,0.00663,0.556
4370,ORG PREP PROCED INT,0030-4948,951,1.185,1.446,0.343,35,>10.0,0.001,0.338
4371,ODONTOLOGY,1618-1247,289,1.354,1.446,0.324,34,4,0.00086,0.423
4372,MONATSH CHEM,0026-9247,4157,1.347,1.445,0.225,236,9.5,0.00453,0.267
4373,DERMATITIS,1710-3568,521,1.361,1.445,0.596,52,4.9,0.00125,0.343
4374,COMMUNITY ECOL,1585-8553,451,1.2,1.444,0.192,26,5.9,0.00111,0.415
4375,J PORPHYR PHTHALOCYA,1088-4246,1984,1.364,1.444,0.225,129,7.3,0.00273,0.276
4376,RENEW AGR FOOD SYST,1742-1705,398,1.53,1.444,0.2,30,5.1,0.0011,0.408
4377,J SYST SOFTWARE,0164-1212,2441,1.245,1.443,0.127,220,5.5,0.00741,0.479
4378,REPROD DOMEST ANIM,0936-6768,2828,1.177,1.442,0.202,178,4.9,0.00825,0.393
4379,INT J PEDIATR OTORHI,0165-5876,4985,1.319,1.441,0.169,408,6.5,0.00954,0.366
4380,ACTA OTORHINOLARYNGO,0392-100X,885,1.439,1.441,0.152,66,6.9,0.00148,0.324
4381,BIRD CONSERV INT,0959-2709,608,1.554,1.441,0.255,47,6,0.0016,0.473
4382,IEEE T COMPUT AID D,0278-0070,3477,1.203,1.44,0.26,169,7.7,0.00764,0.521
4383,HEMODIAL INT,1492-7535,933,1.363,1.44,0.292,89,4.7,0.00248,0.379
4384,HUM CELL,1749-0774,323,1.737,1.44,0.227,22,7.3,0.00051,0.337
4385,EUR J WILDLIFE RES,1612-4642,1081,1.208,1.439,0.237,97,4.3,0.00352,0.388
4386,MACH VISION APPL,0932-8092,917,1.444,1.439,0.195,118,6.1,0.00241,0.478
4387,AM J PERINAT,0735-1631,1967,1.597,1.439,0.531,113,6.7,0.00508,0.511
4388,J ECT,1095-0680,1048,1.387,1.438,0.154,91,6.7,0.00146,0.271
4389,GUT LIVER,1976-2283,572,1.494,1.437,0.149,114,3.1,0.00275,0.443
4390,J MOL SPECTROSC,0022-2852,5909,1.529,1.437,0.392,79,>10.0,0.00539,0.481
4391,CHEM EDUC RES PRACT,1109-4028,510,1.309,1.436,0.224,49,5.4,0.00138,0.423
4392,Z MED PHYS,0939-3889,296,1.811,1.436,0.724,29,3.6,0.00108,0.484
4393,PHYSICA E,1386-9477,5958,1.856,1.436,0.386,267,5.1,0.01597,0.398
4394,COMPUT STAT DATA AN,0167-9473,5251,1.151,1.435,0.427,248,6.5,0.02589,1.001
4395,INFORM SYST,0306-4379,828,1.235,1.435,0.18,61,6.7,0.00275,0.687
4396,TREE-RING RES,1536-1098,350,1.292,1.435,0.444,9,9.9,0.00052,0.505
4397,J VET DIAGN INVEST,1040-6387,3703,1.232,1.433,0.266,128,8.3,0.00595,0.392
4398,CONTRIB NEPHROL,0302-5144,1398,1.534,1.433,0.559,59,5.2,0.00365,0.442
4399,INLAND WATERS,2044-2041,90,1.432,1.432,1.028,36,,0.00043,0.7
4400,GREEN CHEM LETT REV,1751-8253,331,1.216,1.431,0.25,32,3.2,0.00087,0.24
4401,J FELINE MED SURG,1098-612X,1513,1.219,1.431,0.263,152,4.8,0.00288,0.271
4402,J THORAC IMAG,0883-5993,965,1.489,1.431,0.638,58,6.4,0.0023,0.466
4403,J EMPIR RES HUM RES,1556-2646,300,1.217,1.43,0.135,37,3.9,0.00158,0.597
4404,BIOTECHNOL APPL BIOC,0885-4513,1669,1.322,1.43,0.224,67,9.7,0.00194,0.346
4405,NEUROCASE,1355-4794,1097,1.381,1.43,0.203,64,8.3,0.0018,0.418
4406,AM J DERMATOPATH,0193-1091,2706,1.426,1.43,0.233,159,8.6,0.00494,0.419
4407,J FUNCT ANAL,0022-1236,6951,1.152,1.429,0.32,219,>10.0,0.03749,1.66
4408,AUTOMAT SOFTW ENG,0928-8910,203,1.24,1.429,0.375,16,5.8,0.00125,1.064
4409,PATHOL RES PRACT,0344-0338,2407,1.562,1.429,0.216,139,8,0.00443,0.393
4410,MEDITERR MAR SCI,1108-393X,387,1.734,1.429,0.31,58,4.5,0.00084,0.36
4411,SMART STRUCT SYST,1738-1584,497,1.16,1.428,0.38,71,3.5,0.00167,0.359
4412,AIAA J,0001-1452,11657,1.165,1.428,0.204,250,>10.0,0.01538,0.671
4413,PHOTODERMATOL PHOTO,0905-4383,1245,1.295,1.428,0.16,50,8,0.00187,0.36
4414,J POROUS MAT,1380-2224,1440,1.316,1.428,0.188,170,5.8,0.00243,0.291
4415,J INCL PHENOM MACRO,0923-0750,2733,1.426,1.428,0.19,142,7,0.00344,0.266
4416,VET COMP ONCOL,1476-5810,352,1.448,1.428,0.37,27,4.6,0.00089,0.349
4417,INT REV HYDROBIOL,1434-2944,874,1.013,1.427,0.125,32,8.2,0.00162,0.459
4418,J EYE MOVEMENT RES,1995-8692,135,1.056,1.427,0.25,16,5,0.00119,0.802
4419,ACI MATER J,0889-325X,3030,1.123,1.427,0.227,66,>10.0,0.00321,0.561
4420,J REINE ANGEW MATH,0075-4102,4137,1.303,1.427,0.29,93,>10.0,0.01857,2.408
4421,ONCOTARGETS THER,1178-6930,222,1.342,1.426,0.19,200,2.4,0.0008,0.369
4422,INT J CHEM KINET,0538-8066,2724,1.566,1.426,0.342,79,>10.0,0.00264,0.423
4423,CLIN PHYSIOL FUNCT I,1475-0961,1692,1.376,1.425,0.352,71,>10.0,0.00266,0.453
4424,J ZHEJIANG UNIV-SC B,1673-1581,1393,1.293,1.424,0.147,129,5,0.00364,0.347
4425,FRESHW SCI,2161-9549,187,1.423,1.423,0.467,105,1.3,0.0007,0.43
4426,J INTERV CARDIOL,0896-4327,1091,1.318,1.422,0.232,82,5.7,0.00264,0.396
4427,J MIDWIFERY WOM HEAL,1526-9523,1113,1.039,1.421,0.494,77,6.3,0.0022,0.384
4428,PHYS MED REH CLIN N,1047-9651,769,1.089,1.421,0.196,46,6.9,0.00162,0.449
4429,CHINESE SCI BULL,1001-6538,9439,1.365,1.421,0.366,599,6.3,0.01811,0.36
4430,PEDIATR CARDIOL,0172-0643,2962,1.55,1.42,0.243,334,5.8,0.00759,0.448
4431,MULTIDIM SYST SIGN P,0923-6082,355,1.578,1.42,0.4,35,6.5,0.00096,0.511
4432,J MATER SCI TECHNOL,1005-0302,2091,1.61,1.42,0.243,189,4.3,0.00543,0.361
4433,SCAND J SURG,1457-4969,650,1.283,1.419,0.07,43,6,0.00174,0.459
4434,J WILDLIFE DIS,0090-3558,3907,1.305,1.419,0.25,148,>10.0,0.00516,0.423
4435,SCI JUSTICE,1355-0306,499,1.415,1.419,0.288,59,7.3,0.00103,0.416
4436,ACM T DATABASE SYST,0362-5915,966,0.75,1.418,0,27,>10.0,0.00267,1.192
4437,COMPUT SCI ENG,1521-9615,931,1.248,1.418,0.061,49,6.5,0.00295,0.709
4438,COMPUT STAND INTER,0920-5489,781,1.177,1.417,0.218,78,4.8,0.00214,0.381
4439,J CLIN NEUROSCI,0967-5868,4513,1.318,1.417,0.188,410,4.7,0.01351,0.415
4440,INFRARED PHYS TECHN,1350-4495,1760,1.46,1.416,0.21,167,8.7,0.0021,0.316
4441,WIRES DEV BIOL,1759-7684,109,1.414,1.414,0.563,48,1.3,0.00056,0.573
4442,CLIN APPL THROMB-HEM,1076-0296,1249,1.575,1.414,0.485,103,4.4,0.00351,0.412
4443,N AM J FISH MANAGE,0275-5947,3525,1.11,1.413,0.119,135,>10.0,0.00482,0.451
4444,J PARASITOL,0022-3395,8085,1.258,1.413,0.3,207,>10.0,0.00727,0.387
4445,WAVE MOTION,0165-2125,1397,1.303,1.413,0.298,94,9.8,0.00304,0.641
4446,LIGHTING RES TECHNOL,1477-1535,569,1.485,1.413,0.109,46,9.2,0.00115,0.497
4447,CAN MINERAL,0008-4476,3872,1.134,1.412,0.185,54,>10.0,0.00514,0.592
4448,VACUUM,0042-207X,5274,1.426,1.412,0.521,288,7.4,0.00928,0.373
4449,IRAN POLYM J,1026-1265,1090,1.469,1.412,0.289,97,5.2,0.00176,0.246
